method,metric,row_label,col_label,mean,sd
IEN,mean_TPP,snr=1.00,rho=0.70,0.101900,0.060776
EN,mean_FDP,snr=1.00,rho=0.85,0.075829,0.034542
EN,mean_TPP,snr=1.00,rho=0.85,0.656700,0.102374
EN+AUG,mean_FDP,snr=1.00,rho=0.85,0.076253,0.034885
EN+AUG,mean_TPP,snr=1.00,rho=0.85,0.687133,0.106345
IEN,mean_FDP,snr=1.00,rho=0.85,0.015275,0.019799
IEN,mean_TPP,snr=1.00,rho=0.85,0.404733,0.114160
EN,mean_FDP,snr=1.00,rho=0.90,0.084282,0.034341
EN,mean_TPP,snr=1.00,rho=0.90,0.827500,0.074761
EN+AUG,mean_FDP,snr=1.00,rho=0.90,0.084529,0.035656
EN+AUG,mean_TPP,snr=1.00,rho=0.90,0.855400,0.071213
IEN,mean_FDP,snr=1.00,rho=0.90,0.008322,0.012250
IEN,mean_TPP,snr=1.00,rho=0.90,0.581300,0.122581
EN,mean_FDP,snr=1.00,rho=0.99,0.068840,0.055392
EN,mean_TPP,snr=1.00,rho=0.99,0.925700,0.063617
EN+AUG,mean_FDP,snr=1.00,rho=0.99,0.071463,0.056297
EN+AUG,mean_TPP,snr=1.00,rho=0.99,0.940233,0.063932
IEN,mean_FDP,snr=1.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=1.00,rho=0.99,0.007800,0.002922
EN,mean_FDP,snr=2.00,rho=0.30,0.031633,0.131293
EN,mean_TPP,snr=2.00,rho=0.30,0.007700,0.014946
EN+AUG,mean_FDP,snr=2.00,rho=0.30,0.023304,0.115526
EN+AUG,mean_TPP,snr=2.00,rho=0.30,0.005700,0.013357
IEN,mean_FDP,snr=2.00,rho=0.30,0.026139,0.129259
IEN,mean_TPP,snr=2.00,rho=0.30,0.004900,0.011012
EN,mean_FDP,snr=2.00,rho=0.50,0.043985,0.069026
EN,mean_TPP,snr=2.00,rho=0.50,0.061433,0.051257
EN+AUG,mean_FDP,snr=2.00,rho=0.50,0.040430,0.072510
EN+AUG,mean_TPP,snr=2.00,rho=0.50,0.054033,0.053731
IEN,mean_FDP,snr=2.00,rho=0.50,0.036998,0.087566
IEN,mean_TPP,snr=2.00,rho=0.50,0.037433,0.036267
EN,mean_FDP,snr=2.00,rho=0.70,0.065575,0.037782
EN,mean_TPP,snr=2.00,rho=0.70,0.361733,0.099185
EN+AUG,mean_FDP,snr=2.00,rho=0.70,0.066371,0.039824
EN+AUG,mean_TPP,snr=2.00,rho=0.70,0.373567,0.110683
IEN,mean_FDP,snr=2.00,rho=0.70,0.025548,0.031575
IEN,mean_TPP,snr=2.00,rho=0.70,0.212700,0.083094
EN,mean_FDP,snr=2.00,rho=0.85,0.083569,0.034277
EN,mean_TPP,snr=2.00,rho=0.85,0.809633,0.069068
EN+AUG,mean_FDP,snr=2.00,rho=0.85,0.084754,0.034830
EN+AUG,mean_TPP,snr=2.00,rho=0.85,0.841167,0.065734
IEN,mean_FDP,snr=2.00,rho=0.85,0.009607,0.012429
IEN,mean_TPP,snr=2.00,rho=0.85,0.569000,0.116934
EN,mean_FDP,snr=2.00,rho=0.90,0.088949,0.036053
EN,mean_TPP,snr=2.00,rho=0.90,0.909733,0.048852
EN+AUG,mean_FDP,snr=2.00,rho=0.90,0.089830,0.037391
EN+AUG,mean_TPP,snr=2.00,rho=0.90,0.931467,0.043448
IEN,mean_FDP,snr=2.00,rho=0.90,0.005323,0.010198
IEN,mean_TPP,snr=2.00,rho=0.90,0.718767,0.115748
