solver,metric,rho,support_type,gap,value
TREX-DA: TLARS,mean_FDP,0.200000,CappedSpread,20,0.082737
TREX-DA: TLARS,sd_FDP,0.200000,CappedSpread,20,0.085182
TREX-DA: TLARS,mean_TPP,0.200000,CappedSpread,15,0.978500
TREX-DA: TLARS,sd_TPP,0.200000,CappedSpread,15,0.056602
TREX-DA: TLARS,mean_FDP,0.200000,CappedSpread,15,0.085283
TREX-DA: TLARS,sd_FDP,0.200000,CappedSpread,15,0.080068
TREX-DA: TLARS,mean_TPP,0.200000,CappedSpread,10,0.975500
TREX-DA: TLARS,sd_TPP,0.200000,CappedSpread,10,0.064580
TREX-DA: TLARS,mean_FDP,0.200000,CappedSpread,10,0.082959
TREX-DA: TLARS,sd_FDP,0.200000,CappedSpread,10,0.082619
TREX-DA: TLARS,mean_TPP,0.200000,CappedSpread,5,0.978500
TREX-DA: TLARS,sd_TPP,0.200000,CappedSpread,5,0.059205
TREX-DA: TLARS,mean_FDP,0.200000,CappedSpread,5,0.083712
TREX-DA: TLARS,sd_FDP,0.200000,CappedSpread,5,0.079442
TREX-DA: TLARS,mean_TPP,0.200000,CappedSpread,1,0.000000
TREX-DA: TLARS,sd_TPP,0.200000,CappedSpread,1,0.000000
TREX-DA: TLARS,mean_FDP,0.200000,CappedSpread,1,0.115000
TREX-DA: TLARS,sd_FDP,0.200000,CappedSpread,1,0.319823
TREX-DA: TLARS,mean_TPP,0.200000,Random,,0.934500
TREX-DA: TLARS,sd_TPP,0.200000,Random,,0.106850
TREX-DA: TLARS,mean_FDP,0.200000,Random,,0.077576
TREX-DA: TLARS,sd_FDP,0.200000,Random,,0.079733
TREX-DA: TLARS,mean_TPP,0.300000,CappedSpread,100,0.976500
TREX-DA: TLARS,sd_TPP,0.300000,CappedSpread,100,0.048055
TREX-DA: TLARS,mean_FDP,0.300000,CappedSpread,100,0.083869
TREX-DA: TLARS,sd_FDP,0.300000,CappedSpread,100,0.079584
TREX-DA: TLARS,mean_TPP,0.300000,CappedSpread,50,0.980500
TREX-DA: TLARS,sd_TPP,0.300000,CappedSpread,50,0.043349
TREX-DA: TLARS,mean_FDP,0.300000,CappedSpread,50,0.086391
TREX-DA: TLARS,sd_FDP,0.300000,CappedSpread,50,0.073091
TREX-DA: TLARS,mean_TPP,0.300000,CappedSpread,20,0.974500
TREX-DA: TLARS,sd_TPP,0.300000,CappedSpread,20,0.056708
TREX-DA: TLARS,mean_FDP,0.300000,CappedSpread,20,0.079728
TREX-DA: TLARS,sd_FDP,0.300000,CappedSpread,20,0.077837
TREX-DA: TLARS,mean_TPP,0.300000,CappedSpread,15,0.980500
TREX-DA: TLARS,sd_TPP,0.300000,CappedSpread,15,0.043349
TREX-DA: TLARS,mean_FDP,0.300000,CappedSpread,15,0.078242
TREX-DA: TLARS,sd_FDP,0.300000,CappedSpread,15,0.078959
TREX-DA: TLARS,mean_TPP,0.300000,CappedSpread,10,0.971500
TREX-DA: TLARS,sd_TPP,0.300000,CappedSpread,10,0.057918
TREX-DA: TLARS,mean_FDP,0.300000,CappedSpread,10,0.078571
TREX-DA: TLARS,sd_FDP,0.300000,CappedSpread,10,0.079614
TREX-DA: TLARS,mean_TPP,0.300000,CappedSpread,5,0.957000
TREX-DA: TLARS,sd_TPP,0.300000,CappedSpread,5,0.100005
TREX-DA: TLARS,mean_FDP,0.300000,CappedSpread,5,0.082304
TREX-DA: TLARS,sd_FDP,0.300000,CappedSpread,5,0.078873
TREX-DA: TLARS,mean_TPP,0.300000,CappedSpread,1,0.000000
TREX-DA: TLARS,sd_TPP,0.300000,CappedSpread,1,0.000000
TREX-DA: TLARS,mean_FDP,0.300000,CappedSpread,1,0.100000
TREX-DA: TLARS,sd_FDP,0.300000,CappedSpread,1,0.300753
TREX-DA: TLARS,mean_TPP,0.300000,Random,,0.914000
TREX-DA: TLARS,sd_TPP,0.300000,Random,,0.125229
TREX-DA: TLARS,mean_FDP,0.300000,Random,,0.072288
TREX-DA: TLARS,sd_FDP,0.300000,Random,,0.079037
TREX-DA: TLARS,mean_TPP,0.400000,CappedSpread,100,0.968500
TREX-DA: TLARS,sd_TPP,0.400000,CappedSpread,100,0.057220
TREX-DA: TLARS,mean_FDP,0.400000,CappedSpread,100,0.075634
TREX-DA: TLARS,sd_FDP,0.400000,CappedSpread,100,0.084409
TREX-DA: TLARS,mean_TPP,0.400000,CappedSpread,50,0.964500
TREX-DA: TLARS,sd_TPP,0.400000,CappedSpread,50,0.054816
TREX-DA: TLARS,mean_FDP,0.400000,CappedSpread,50,0.079824
TREX-DA: TLARS,sd_FDP,0.400000,CappedSpread,50,0.080448
TREX-DA: TLARS,mean_TPP,0.400000,CappedSpread,20,0.962500
TREX-DA: TLARS,sd_TPP,0.400000,CappedSpread,20,0.072595
TREX-DA: TLARS,mean_FDP,0.400000,CappedSpread,20,0.075948
TREX-DA: TLARS,sd_FDP,0.400000,CappedSpread,20,0.075172
TREX-DA: TLARS,mean_TPP,0.400000,CappedSpread,15,0.962500
TREX-DA: TLARS,sd_TPP,0.400000,CappedSpread,15,0.064534
TREX-DA: TLARS,mean_FDP,0.400000,CappedSpread,15,0.083464
TREX-DA: TLARS,sd_FDP,0.400000,CappedSpread,15,0.081253
TREX-DA: TLARS,mean_TPP,0.400000,CappedSpread,10,0.963000
TREX-DA: TLARS,sd_TPP,0.400000,CappedSpread,10,0.066733
TREX-DA: TLARS,mean_FDP,0.400000,CappedSpread,10,0.071808
TREX-DA: TLARS,sd_FDP,0.400000,CappedSpread,10,0.067652
TREX-DA: TLARS,mean_TPP,0.400000,CappedSpread,5,0.000000
TREX-DA: TLARS,sd_TPP,0.400000,CappedSpread,5,0.000000
TREX-DA: TLARS,mean_FDP,0.400000,CappedSpread,5,0.065000
TREX-DA: TLARS,sd_FDP,0.400000,CappedSpread,5,0.247144
TREX-DA: TLARS,mean_TPP,0.400000,CappedSpread,1,0.000000
TREX-DA: TLARS,sd_TPP,0.400000,CappedSpread,1,0.000000
TREX-DA: TLARS,mean_FDP,0.400000,CappedSpread,1,0.055000
TREX-DA: TLARS,sd_FDP,0.400000,CappedSpread,1,0.228552
TREX-DA: TLARS,mean_TPP,0.400000,Random,,0.881500
TREX-DA: TLARS,sd_TPP,0.400000,Random,,0.143914
TREX-DA: TLARS,mean_FDP,0.400000,Random,,0.069365
TREX-DA: TLARS,sd_FDP,0.400000,Random,,0.076917
TREX-DA: TLARS,mean_TPP,0.500000,CappedSpread,100,0.949500
TREX-DA: TLARS,sd_TPP,0.500000,CappedSpread,100,0.067249
TREX-DA: TLARS,mean_FDP,0.500000,CappedSpread,100,0.070195
TREX-DA: TLARS,sd_FDP,0.500000,CappedSpread,100,0.079971
TREX-DA: TLARS,mean_TPP,0.500000,CappedSpread,50,0.947500
TREX-DA: TLARS,sd_TPP,0.500000,CappedSpread,50,0.078258
TREX-DA: TLARS,mean_FDP,0.500000,CappedSpread,50,0.074921
TREX-DA: TLARS,sd_FDP,0.500000,CappedSpread,50,0.072998
TREX-DA: TLARS,mean_TPP,0.500000,CappedSpread,20,0.940000
TREX-DA: TLARS,sd_TPP,0.500000,CappedSpread,20,0.094577
TREX-DA: TLARS,mean_FDP,0.500000,CappedSpread,20,0.068265
TREX-DA: TLARS,sd_FDP,0.500000,CappedSpread,20,0.068642
TREX-DA: TLARS,mean_TPP,0.500000,CappedSpread,15,0.943500
TREX-DA: TLARS,sd_TPP,0.500000,CappedSpread,15,0.081800
TREX-DA: TLARS,mean_FDP,0.500000,CappedSpread,15,0.073904
