method,metric,row_label,col_label,mean,sd
IEN,mean_TPP,snr=1.00,rho=0.70,0.776800,0.139910
EN,mean_FDP,snr=1.00,rho=0.85,0.077734,0.058572
EN,mean_TPP,snr=1.00,rho=0.85,0.915300,0.068874
EN+AUG,mean_FDP,snr=1.00,rho=0.85,0.085431,0.067731
EN+AUG,mean_TPP,snr=1.00,rho=0.85,0.931067,0.065318
IEN,mean_FDP,snr=1.00,rho=0.85,0.012317,0.029926
IEN,mean_TPP,snr=1.00,rho=0.85,0.784867,0.164822
EN,mean_FDP,snr=1.00,rho=0.90,0.076812,0.063743
EN,mean_TPP,snr=1.00,rho=0.90,0.917533,0.069141
EN+AUG,mean_FDP,snr=1.00,rho=0.90,0.079115,0.068947
EN+AUG,mean_TPP,snr=1.00,rho=0.90,0.932400,0.066408
IEN,mean_FDP,snr=1.00,rho=0.90,0.018400,0.075837
IEN,mean_TPP,snr=1.00,rho=0.90,0.776433,0.187074
EN,mean_FDP,snr=1.00,rho=0.99,0.073710,0.064527
EN,mean_TPP,snr=1.00,rho=0.99,0.921200,0.074602
EN+AUG,mean_FDP,snr=1.00,rho=0.99,0.073135,0.062654
EN+AUG,mean_TPP,snr=1.00,rho=0.99,0.935733,0.072100
IEN,mean_FDP,snr=1.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=1.00,rho=0.99,0.007600,0.002319
EN,mean_FDP,snr=2.00,rho=0.30,0.085028,0.034087
EN,mean_TPP,snr=2.00,rho=0.30,0.846933,0.078167
EN+AUG,mean_FDP,snr=2.00,rho=0.30,0.085687,0.033370
EN+AUG,mean_TPP,snr=2.00,rho=0.30,0.868533,0.073960
IEN,mean_FDP,snr=2.00,rho=0.30,0.006050,0.021965
IEN,mean_TPP,snr=2.00,rho=0.30,0.688633,0.118964
EN,mean_FDP,snr=2.00,rho=0.50,0.083912,0.039995
EN,mean_TPP,snr=2.00,rho=0.50,0.900000,0.058878
EN+AUG,mean_FDP,snr=2.00,rho=0.50,0.086944,0.042103
EN+AUG,mean_TPP,snr=2.00,rho=0.50,0.916833,0.055528
IEN,mean_FDP,snr=2.00,rho=0.50,0.005244,0.010733
IEN,mean_TPP,snr=2.00,rho=0.50,0.773333,0.121112
EN,mean_FDP,snr=2.00,rho=0.70,0.083661,0.048738
EN,mean_TPP,snr=2.00,rho=0.70,0.924000,0.053538
EN+AUG,mean_FDP,snr=2.00,rho=0.70,0.085546,0.051148
EN+AUG,mean_TPP,snr=2.00,rho=0.70,0.939867,0.049507
IEN,mean_FDP,snr=2.00,rho=0.70,0.005986,0.013690
IEN,mean_TPP,snr=2.00,rho=0.70,0.805167,0.121987
