method,metric,SNR,value
TAFS-0.3 (Bootstrap),TPR,0.100000,0.022000
TAFS-0.3 (Bootstrap),Est. FDR,0.100000,0.322917
TAFS-0.3 (Bootstrap),FDR,0.200000,0.150583
TAFS-0.3 (Bootstrap),TPR,0.200000,0.064500
TAFS-0.3 (Bootstrap),Est. FDR,0.200000,0.239250
TAFS-0.3 (Bootstrap),FDR,0.500000,0.045969
TAFS-0.3 (Bootstrap),TPR,0.500000,0.218000
TAFS-0.3 (Bootstrap),Est. FDR,0.500000,0.066772
TAFS-0.3 (Bootstrap),FDR,0.600000,0.034030
TAFS-0.3 (Bootstrap),TPR,0.600000,0.300000
TAFS-0.3 (Bootstrap),Est. FDR,0.600000,0.065986
TAFS-0.3 (Bootstrap),FDR,1.000000,0.037028
TAFS-0.3 (Bootstrap),TPR,1.000000,0.602000
TAFS-0.3 (Bootstrap),Est. FDR,1.000000,0.062498
TAFS-0.3 (Bootstrap),FDR,2.000000,0.041319
TAFS-0.3 (Bootstrap),TPR,2.000000,0.735000
TAFS-0.3 (Bootstrap),Est. FDR,2.000000,0.069368
TAFS-0.3 (Bootstrap),FDR,5.000000,0.042931
TAFS-0.3 (Bootstrap),TPR,5.000000,0.685000
TAFS-0.3 (Bootstrap),Est. FDR,5.000000,0.064207
TOMP (Bootstrap),FDR,0.010000,0.386667
TOMP (Bootstrap),TPR,0.010000,0.004500
TOMP (Bootstrap),Est. FDR,0.010000,0.330750
TOMP (Bootstrap),FDR,0.100000,0.348167
TOMP (Bootstrap),TPR,0.100000,0.031000
TOMP (Bootstrap),Est. FDR,0.100000,0.468917
TOMP (Bootstrap),FDR,0.200000,0.292167
TOMP (Bootstrap),TPR,0.200000,0.105500
TOMP (Bootstrap),Est. FDR,0.200000,0.470417
TOMP (Bootstrap),FDR,0.500000,0.120275
TOMP (Bootstrap),TPR,0.500000,0.458500
TOMP (Bootstrap),Est. FDR,0.500000,0.192117
TOMP (Bootstrap),FDR,0.600000,0.092192
TOMP (Bootstrap),TPR,0.600000,0.599000
TOMP (Bootstrap),Est. FDR,0.600000,0.145648
TOMP (Bootstrap),FDR,1.000000,0.062668
TOMP (Bootstrap),TPR,1.000000,0.915500
TOMP (Bootstrap),Est. FDR,1.000000,0.098490
TOMP (Bootstrap),FDR,2.000000,0.058194
TOMP (Bootstrap),TPR,2.000000,0.965000
TOMP (Bootstrap),Est. FDR,2.000000,0.090681
TOMP (Bootstrap),FDR,5.000000,0.056726
TOMP (Bootstrap),TPR,5.000000,0.945000
TOMP (Bootstrap),Est. FDR,5.000000,0.088827
