method,metric,row_label,col_label,mean,sd
IEN,mean_TPP,snr=1.00,rho=0.70,0.786900,0.114837
EN,mean_FDP,snr=1.00,rho=0.85,0.070430,0.049752
EN,mean_TPP,snr=1.00,rho=0.85,0.922467,0.055429
EN+AUG,mean_FDP,snr=1.00,rho=0.85,0.072666,0.059049
EN+AUG,mean_TPP,snr=1.00,rho=0.85,0.938500,0.056384
IEN,mean_FDP,snr=1.00,rho=0.85,0.009848,0.019670
IEN,mean_TPP,snr=1.00,rho=0.85,0.800433,0.121820
EN,mean_FDP,snr=1.00,rho=0.90,0.068188,0.052369
EN,mean_TPP,snr=1.00,rho=0.90,0.924267,0.058559
EN+AUG,mean_FDP,snr=1.00,rho=0.90,0.070902,0.061298
EN+AUG,mean_TPP,snr=1.00,rho=0.90,0.940500,0.058650
IEN,mean_FDP,snr=1.00,rho=0.90,0.008774,0.017831
IEN,mean_TPP,snr=1.00,rho=0.90,0.798533,0.130016
EN,mean_FDP,snr=1.00,rho=0.99,0.060902,0.039241
EN,mean_TPP,snr=1.00,rho=0.99,0.924200,0.063672
EN+AUG,mean_FDP,snr=1.00,rho=0.99,0.064003,0.044418
EN+AUG,mean_TPP,snr=1.00,rho=0.99,0.940600,0.062743
IEN,mean_FDP,snr=1.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=1.00,rho=0.99,0.007333,0.002005
EN,mean_FDP,snr=2.00,rho=0.30,0.082850,0.026963
EN,mean_TPP,snr=2.00,rho=0.30,0.866867,0.047532
EN+AUG,mean_FDP,snr=2.00,rho=0.30,0.083450,0.030242
EN+AUG,mean_TPP,snr=2.00,rho=0.30,0.890033,0.043668
IEN,mean_FDP,snr=2.00,rho=0.30,0.003078,0.007100
IEN,mean_TPP,snr=2.00,rho=0.30,0.705133,0.080705
EN,mean_FDP,snr=2.00,rho=0.50,0.079382,0.037138
EN,mean_TPP,snr=2.00,rho=0.50,0.913767,0.040982
EN+AUG,mean_FDP,snr=2.00,rho=0.50,0.079108,0.041018
EN+AUG,mean_TPP,snr=2.00,rho=0.50,0.929267,0.041902
IEN,mean_FDP,snr=2.00,rho=0.50,0.003545,0.010207
IEN,mean_TPP,snr=2.00,rho=0.50,0.784667,0.092909
EN,mean_FDP,snr=2.00,rho=0.70,0.076829,0.043178
EN,mean_TPP,snr=2.00,rho=0.70,0.931533,0.049465
EN+AUG,mean_FDP,snr=2.00,rho=0.70,0.074870,0.049716
EN+AUG,mean_TPP,snr=2.00,rho=0.70,0.945300,0.050047
IEN,mean_FDP,snr=2.00,rho=0.70,0.005142,0.011685
IEN,mean_TPP,snr=2.00,rho=0.70,0.824833,0.098464
EN,mean_FDP,snr=2.00,rho=0.85,0.072275,0.049194
EN,mean_TPP,snr=2.00,rho=0.85,0.939400,0.057061
EN+AUG,mean_FDP,snr=2.00,rho=0.85,0.070605,0.054121
EN+AUG,mean_TPP,snr=2.00,rho=0.85,0.953533,0.055019
IEN,mean_FDP,snr=2.00,rho=0.85,0.006047,0.012795
IEN,mean_TPP,snr=2.00,rho=0.85,0.839800,0.104044
EN,mean_FDP,snr=2.00,rho=0.90,0.068125,0.048500
EN,mean_TPP,snr=2.00,rho=0.90,0.941433,0.059022
EN+AUG,mean_FDP,snr=2.00,rho=0.90,0.072250,0.058647
EN+AUG,mean_TPP,snr=2.00,rho=0.90,0.956167,0.056091
IEN,mean_FDP,snr=2.00,rho=0.90,0.005659,0.013802
IEN,mean_TPP,snr=2.00,rho=0.90,0.840933,0.108025
EN,mean_FDP,snr=2.00,rho=0.99,0.062550,0.041656
EN,mean_TPP,snr=2.00,rho=0.99,0.941900,0.063208
EN+AUG,mean_FDP,snr=2.00,rho=0.99,0.061659,0.045229
EN+AUG,mean_TPP,snr=2.00,rho=0.99,0.957567,0.059186
IEN,mean_FDP,snr=2.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=2.00,rho=0.99,0.007200,0.001932
EN,mean_FDP,snr=5.00,rho=0.30,0.083882,0.027076
EN,mean_TPP,snr=5.00,rho=0.30,0.895433,0.035664
EN+AUG,mean_FDP,snr=5.00,rho=0.30,0.085152,0.030369
EN+AUG,mean_TPP,snr=5.00,rho=0.30,0.912567,0.034825
IEN,mean_FDP,snr=5.00,rho=0.30,0.001297,0.003505
IEN,mean_TPP,snr=5.00,rho=0.30,0.752467,0.078348
EN,mean_FDP,snr=5.00,rho=0.50,0.078790,0.036556
EN,mean_TPP,snr=5.00,rho=0.50,0.927067,0.041976
EN+AUG,mean_FDP,snr=5.00,rho=0.50,0.079858,0.038140
EN+AUG,mean_TPP,snr=5.00,rho=0.50,0.942633,0.041334
IEN,mean_FDP,snr=5.00,rho=0.50,0.002005,0.006196
IEN,mean_TPP,snr=5.00,rho=0.50,0.820500,0.082920
EN,mean_FDP,snr=5.00,rho=0.70,0.075401,0.044190
EN,mean_TPP,snr=5.00,rho=0.70,0.943700,0.049211
EN+AUG,mean_FDP,snr=5.00,rho=0.70,0.077610,0.047688
EN+AUG,mean_TPP,snr=5.00,rho=0.70,0.958233,0.046513
IEN,mean_FDP,snr=5.00,rho=0.70,0.002692,0.007922
IEN,mean_TPP,snr=5.00,rho=0.70,0.851467,0.082456
EN,mean_FDP,snr=5.00,rho=0.85,0.073143,0.051499
EN,mean_TPP,snr=5.00,rho=0.85,0.954367,0.054747
EN+AUG,mean_FDP,snr=5.00,rho=0.85,0.072442,0.052681
EN+AUG,mean_TPP,snr=5.00,rho=0.85,0.966167,0.050165
IEN,mean_FDP,snr=5.00,rho=0.85,0.002894,0.007781
IEN,mean_TPP,snr=5.00,rho=0.85,0.865700,0.083712
EN,mean_FDP,snr=5.00,rho=0.90,0.069233,0.053463
EN,mean_TPP,snr=5.00,rho=0.90,0.956267,0.056756
EN+AUG,mean_FDP,snr=5.00,rho=0.90,0.069258,0.055411
EN+AUG,mean_TPP,snr=5.00,rho=0.90,0.967400,0.051487
IEN,mean_FDP,snr=5.00,rho=0.90,0.002318,0.006888
IEN,mean_TPP,snr=5.00,rho=0.90,0.865533,0.086941
EN,mean_FDP,snr=5.00,rho=0.99,0.065720,0.048449
EN,mean_TPP,snr=5.00,rho=0.99,0.956333,0.060250
EN+AUG,mean_FDP,snr=5.00,rho=0.99,0.062791,0.046965
EN+AUG,mean_TPP,snr=5.00,rho=0.99,0.966200,0.055078
IEN,mean_FDP,snr=5.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=5.00,rho=0.99,0.007133,0.001705
