method,metric,row_label,col_label,mean,sd
TENET,mean_TPP,snr=1,ac=0.3,0.012400,0.022347
TENET_AUG,mean_FDP,snr=1,ac=0.3,0.012864,0.048465
TENET_AUG,mean_TPP,snr=1,ac=0.3,0.012400,0.022347
TIENET_AUG,mean_FDP,snr=1,ac=0.3,0.016262,0.062838
TIENET_AUG,mean_TPP,snr=1,ac=0.3,0.010600,0.019082
TENET,mean_FDP,snr=1,ac=0.5,0.045493,0.057318
TENET,mean_TPP,snr=1,ac=0.5,0.106800,0.079152
TENET_AUG,mean_FDP,snr=1,ac=0.5,0.045493,0.057318
TENET_AUG,mean_TPP,snr=1,ac=0.5,0.106800,0.079152
TIENET_AUG,mean_FDP,snr=1,ac=0.5,0.029925,0.057799
TIENET_AUG,mean_TPP,snr=1,ac=0.5,0.068933,0.052944
TENET,mean_FDP,snr=1,ac=0.7,0.064134,0.030706
TENET,mean_TPP,snr=1,ac=0.7,0.507100,0.043489
TENET_AUG,mean_FDP,snr=1,ac=0.7,0.064134,0.030706
TENET_AUG,mean_TPP,snr=1,ac=0.7,0.507100,0.043489
TIENET_AUG,mean_FDP,snr=1,ac=0.7,0.011876,0.013583
TIENET_AUG,mean_TPP,snr=1,ac=0.7,0.393900,0.062741
TENET,mean_FDP,snr=1,ac=0.8,0.071339,0.035348
TENET,mean_TPP,snr=1,ac=0.8,0.560200,0.023286
TENET_AUG,mean_FDP,snr=1,ac=0.8,0.071339,0.035348
TENET_AUG,mean_TPP,snr=1,ac=0.8,0.560200,0.023286
TIENET_AUG,mean_FDP,snr=1,ac=0.8,0.000195,0.001586
TIENET_AUG,mean_TPP,snr=1,ac=0.8,0.191533,0.173178
TENET,mean_FDP,snr=1,ac=0.9,0.075609,0.042112
TENET,mean_TPP,snr=1,ac=0.9,0.567500,0.034333
TENET_AUG,mean_FDP,snr=1,ac=0.9,0.075609,0.042112
TENET_AUG,mean_TPP,snr=1,ac=0.9,0.567500,0.034333
TIENET_AUG,mean_FDP,snr=1,ac=0.9,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=1,ac=0.9,0.006667,0.000000
TENET,mean_FDP,snr=1,ac=0.95,0.073534,0.045946
TENET,mean_TPP,snr=1,ac=0.95,0.584433,0.047505
TENET_AUG,mean_FDP,snr=1,ac=0.95,0.073534,0.045946
TENET_AUG,mean_TPP,snr=1,ac=0.95,0.584433,0.047505
TIENET_AUG,mean_FDP,snr=1,ac=0.95,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=1,ac=0.95,0.006667,0.000000
TENET,mean_FDP,snr=2,ac=0.3,0.031102,0.058559
TENET,mean_TPP,snr=2,ac=0.3,0.042633,0.045486
TENET_AUG,mean_FDP,snr=2,ac=0.3,0.031102,0.058559
TENET_AUG,mean_TPP,snr=2,ac=0.3,0.042633,0.045486
TIENET_AUG,mean_FDP,snr=2,ac=0.3,0.031475,0.072727
TIENET_AUG,mean_TPP,snr=2,ac=0.3,0.032733,0.034845
TENET,mean_FDP,snr=2,ac=0.5,0.050295,0.036443
TENET,mean_TPP,snr=2,ac=0.5,0.238000,0.077803
TENET_AUG,mean_FDP,snr=2,ac=0.5,0.050295,0.036443
TENET_AUG,mean_TPP,snr=2,ac=0.5,0.238000,0.077803
TIENET_AUG,mean_FDP,snr=2,ac=0.5,0.029676,0.036687
TIENET_AUG,mean_TPP,snr=2,ac=0.5,0.156667,0.067615
TENET,mean_FDP,snr=2,ac=0.7,0.068009,0.030205
TENET,mean_TPP,snr=2,ac=0.7,0.561567,0.031624
TENET_AUG,mean_FDP,snr=2,ac=0.7,0.068009,0.030205
TENET_AUG,mean_TPP,snr=2,ac=0.7,0.561567,0.031624
TIENET_AUG,mean_FDP,snr=2,ac=0.7,0.008282,0.011471
TIENET_AUG,mean_TPP,snr=2,ac=0.7,0.468700,0.048771
TENET,mean_FDP,snr=2,ac=0.8,0.070184,0.035492
TENET,mean_TPP,snr=2,ac=0.8,0.568267,0.027117
TENET_AUG,mean_FDP,snr=2,ac=0.8,0.070184,0.035492
TENET_AUG,mean_TPP,snr=2,ac=0.8,0.568267,0.027117
TIENET_AUG,mean_FDP,snr=2,ac=0.8,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=2,ac=0.8,0.229867,0.183235
TENET,mean_FDP,snr=2,ac=0.9,0.076753,0.043025
TENET,mean_TPP,snr=2,ac=0.9,0.577667,0.039026
TENET_AUG,mean_FDP,snr=2,ac=0.9,0.076753,0.043025
TENET_AUG,mean_TPP,snr=2,ac=0.9,0.577667,0.039026
TIENET_AUG,mean_FDP,snr=2,ac=0.9,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=2,ac=0.9,0.006667,0.000000
TENET,mean_FDP,snr=2,ac=0.95,0.077830,0.046693
TENET,mean_TPP,snr=2,ac=0.95,0.600933,0.051523
TENET_AUG,mean_FDP,snr=2,ac=0.95,0.077830,0.046693
TENET_AUG,mean_TPP,snr=2,ac=0.95,0.600933,0.051523
TIENET_AUG,mean_FDP,snr=2,ac=0.95,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=2,ac=0.95,0.006667,0.000000
TENET,mean_FDP,snr=5,ac=0.3,0.047476,0.056381
TENET,mean_TPP,snr=5,ac=0.3,0.106600,0.069815
TENET_AUG,mean_FDP,snr=5,ac=0.3,0.047476,0.056381
TENET_AUG,mean_TPP,snr=5,ac=0.3,0.106600,0.069815
TIENET_AUG,mean_FDP,snr=5,ac=0.3,0.034748,0.052362
TIENET_AUG,mean_TPP,snr=5,ac=0.3,0.076567,0.049808
TENET,mean_FDP,snr=5,ac=0.5,0.058709,0.031338
TENET,mean_TPP,snr=5,ac=0.5,0.358600,0.072541
TENET_AUG,mean_FDP,snr=5,ac=0.5,0.058709,0.031338
TENET_AUG,mean_TPP,snr=5,ac=0.5,0.358600,0.072541
TIENET_AUG,mean_FDP,snr=5,ac=0.5,0.024893,0.024690
TIENET_AUG,mean_TPP,snr=5,ac=0.5,0.250300,0.070840
TENET,mean_FDP,snr=5,ac=0.7,0.071666,0.029761
TENET,mean_TPP,snr=5,ac=0.7,0.588067,0.031366
TENET_AUG,mean_FDP,snr=5,ac=0.7,0.071666,0.029761
TENET_AUG,mean_TPP,snr=5,ac=0.7,0.588067,0.031366
TIENET_AUG,mean_FDP,snr=5,ac=0.7,0.004553,0.008212
TIENET_AUG,mean_TPP,snr=5,ac=0.7,0.505500,0.038990
TENET,mean_FDP,snr=5,ac=0.8,0.070594,0.035859
TENET,mean_TPP,snr=5,ac=0.8,0.576367,0.030988
TENET_AUG,mean_FDP,snr=5,ac=0.8,0.070594,0.035859
TENET_AUG,mean_TPP,snr=5,ac=0.8,0.576367,0.030988
TIENET_AUG,mean_FDP,snr=5,ac=0.8,0.000253,0.002205
TIENET_AUG,mean_TPP,snr=5,ac=0.8,0.260500,0.188131
TENET,mean_FDP,snr=5,ac=0.9,0.077252,0.042734
TENET,mean_TPP,snr=5,ac=0.9,0.586533,0.041887
TENET_AUG,mean_FDP,snr=5,ac=0.9,0.077252,0.042734
TENET_AUG,mean_TPP,snr=5,ac=0.9,0.586533,0.041887
TIENET_AUG,mean_FDP,snr=5,ac=0.9,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=5,ac=0.9,0.006667,0.000000
TENET,mean_FDP,snr=5,ac=0.95,0.078698,0.044164
TENET,mean_TPP,snr=5,ac=0.95,0.615967,0.051318
TENET_AUG,mean_FDP,snr=5,ac=0.95,0.078698,0.044164
TENET_AUG,mean_TPP,snr=5,ac=0.95,0.615967,0.051318
TIENET_AUG,mean_FDP,snr=5,ac=0.95,0.000000,0.000000
TIENET_AUG,mean_TPP,snr=5,ac=0.95,0.006667,0.000000
