scenario,solver,n,p,num_mc,snr,metric,value
C,TLARS,5000,100000,10,1.000000,RSS MiB,3906.625000
C,TLARS,5000,100000,10,1.000000,FootprMiB,79.347252
C,TLARS,5000,100000,10,1.000000,PeakRSS,56335.718750
C,TLARS,5000,100000,10,1.000000,X+y MiB,3814.735413
C,TLARS,5000,100000,10,2.000000,FDR,0.027273
C,TLARS,5000,100000,10,2.000000,TPR,1.000000
C,TLARS,5000,100000,10,2.000000,Avg L,1.300000
C,TLARS,5000,100000,10,2.000000,Avg T,4.000000
C,TLARS,5000,100000,10,2.000000,DGP s,1.814918
C,TLARS,5000,100000,10,2.000000,Select s,535.009976
C,TLARS,5000,100000,10,2.000000,s/T-iter,139.134146
C,TLARS,5000,100000,10,2.000000,Total s,536.824894
C,TLARS,5000,100000,10,2.000000,RSS MiB,3901.484375
C,TLARS,5000,100000,10,2.000000,FootprMiB,73.847252
C,TLARS,5000,100000,10,2.000000,PeakRSS,56335.718750
C,TLARS,5000,100000,10,2.000000,X+y MiB,3814.735413
A,TOMP,300,1000,10,0.500000,FDR,0.000000
A,TOMP,300,1000,10,0.500000,TPR,0.210000
A,TOMP,300,1000,10,0.500000,Avg L,6.700000
A,TOMP,300,1000,10,0.500000,Avg T,5.600000
A,TOMP,300,1000,10,0.500000,DGP s,0.002232
A,TOMP,300,1000,10,0.500000,Select s,1.531415
A,TOMP,300,1000,10,0.500000,s/T-iter,0.325726
A,TOMP,300,1000,10,0.500000,Total s,1.533647
A,TOMP,300,1000,10,0.500000,RSS MiB,13.562500
A,TOMP,300,1000,10,0.500000,FootprMiB,5.344185
A,TOMP,300,1000,10,0.500000,PeakRSS,471.343750
A,TOMP,300,1000,10,0.500000,X+y MiB,2.291107
A,TOMP,300,1000,10,1.000000,FDR,0.035397
A,TOMP,300,1000,10,1.000000,TPR,0.800000
A,TOMP,300,1000,10,1.000000,Avg L,3.600000
A,TOMP,300,1000,10,1.000000,Avg T,8.100000
A,TOMP,300,1000,10,1.000000,DGP s,0.002210
A,TOMP,300,1000,10,1.000000,Select s,0.798024
A,TOMP,300,1000,10,1.000000,s/T-iter,0.087073
A,TOMP,300,1000,10,1.000000,Total s,0.800234
A,TOMP,300,1000,10,1.000000,RSS MiB,13.625000
A,TOMP,300,1000,10,1.000000,FootprMiB,5.406685
A,TOMP,300,1000,10,1.000000,PeakRSS,471.390625
A,TOMP,300,1000,10,1.000000,X+y MiB,2.291107
A,TOMP,300,1000,10,2.000000,FDR,0.043939
A,TOMP,300,1000,10,2.000000,TPR,1.000000
A,TOMP,300,1000,10,2.000000,Avg L,1.300000
A,TOMP,300,1000,10,2.000000,Avg T,5.900000
A,TOMP,300,1000,10,2.000000,DGP s,0.002215
A,TOMP,300,1000,10,2.000000,Select s,0.173094
A,TOMP,300,1000,10,2.000000,s/T-iter,0.029134
A,TOMP,300,1000,10,2.000000,Total s,0.175309
A,TOMP,300,1000,10,2.000000,RSS MiB,13.734375
A,TOMP,300,1000,10,2.000000,FootprMiB,5.516060
A,TOMP,300,1000,10,2.000000,PeakRSS,471.390625
A,TOMP,300,1000,10,2.000000,X+y MiB,2.291107
B,TOMP,1000,10000,10,0.500000,FDR,0.027273
B,TOMP,1000,10000,10,0.500000,TPR,1.000000
B,TOMP,1000,10000,10,0.500000,Avg L,1.300000
B,TOMP,1000,10000,10,0.500000,Avg T,5.800000
B,TOMP,1000,10000,10,0.500000,DGP s,0.046070
B,TOMP,1000,10000,10,0.500000,Select s,3.967321
B,TOMP,1000,10000,10,0.500000,s/T-iter,0.716700
B,TOMP,1000,10000,10,0.500000,Total s,4.013391
B,TOMP,1000,10000,10,0.500000,RSS MiB,95.375000
B,TOMP,1000,10000,10,0.500000,FootprMiB,10.953606
B,TOMP,1000,10000,10,0.500000,PeakRSS,3147.250000
B,TOMP,1000,10000,10,0.500000,X+y MiB,76.301575
B,TOMP,1000,10000,10,1.000000,FDR,0.009091
B,TOMP,1000,10000,10,1.000000,TPR,1.000000
B,TOMP,1000,10000,10,1.000000,Avg L,1.200000
B,TOMP,1000,10000,10,1.000000,Avg T,5.500000
B,TOMP,1000,10000,10,1.000000,DGP s,0.046185
B,TOMP,1000,10000,10,1.000000,Select s,3.544874
B,TOMP,1000,10000,10,1.000000,s/T-iter,0.654583
B,TOMP,1000,10000,10,1.000000,Total s,3.591059
B,TOMP,1000,10000,10,1.000000,RSS MiB,95.375000
B,TOMP,1000,10000,10,1.000000,FootprMiB,5.437981
B,TOMP,1000,10000,10,1.000000,PeakRSS,3147.250000
B,TOMP,1000,10000,10,1.000000,X+y MiB,76.301575
B,TOMP,1000,10000,10,2.000000,FDR,0.016667
B,TOMP,1000,10000,10,2.000000,TPR,1.000000
B,TOMP,1000,10000,10,2.000000,Avg L,1.000000
B,TOMP,1000,10000,10,2.000000,Avg T,5.200000
B,TOMP,1000,10000,10,2.000000,DGP s,0.046289
B,TOMP,1000,10000,10,2.000000,Select s,2.823052
B,TOMP,1000,10000,10,2.000000,s/T-iter,0.598125
B,TOMP,1000,10000,10,2.000000,Total s,2.869341
B,TOMP,1000,10000,10,2.000000,RSS MiB,95.375000
B,TOMP,1000,10000,10,2.000000,FootprMiB,5.437981
B,TOMP,1000,10000,10,2.000000,PeakRSS,3147.250000
B,TOMP,1000,10000,10,2.000000,X+y MiB,76.301575
C,TOMP,5000,100000,10,0.500000,FDR,0.025758
C,TOMP,5000,100000,10,0.500000,TPR,1.000000
C,TOMP,5000,100000,10,0.500000,Avg L,1.100000
C,TOMP,5000,100000,10,0.500000,Avg T,4.200000
C,TOMP,5000,100000,10,0.500000,DGP s,1.813207
C,TOMP,5000,100000,10,0.500000,Select s,428.727218
C,TOMP,5000,100000,10,0.500000,s/T-iter,103.507331
C,TOMP,5000,100000,10,0.500000,Total s,430.540425
C,TOMP,5000,100000,10,0.500000,RSS MiB,3895.203125
C,TOMP,5000,100000,10,0.500000,FootprMiB,64.331604
C,TOMP,5000,100000,10,0.500000,PeakRSS,56347.500000
C,TOMP,5000,100000,10,0.500000,X+y MiB,3814.735413
C,TOMP,5000,100000,10,1.000000,FDR,0.025758
C,TOMP,5000,100000,10,1.000000,TPR,1.000000
C,TOMP,5000,100000,10,1.000000,Avg L,1.000000
C,TOMP,5000,100000,10,1.000000,Avg T,4.400000
C,TOMP,5000,100000,10,1.000000,DGP s,1.812616
C,TOMP,5000,100000,10,1.000000,Select s,369.355921
C,TOMP,5000,100000,10,1.000000,s/T-iter,85.375258
C,TOMP,5000,100000,10,1.000000,Total s,371.168537
C,TOMP,5000,100000,10,1.000000,RSS MiB,3900.734375
C,TOMP,5000,100000,10,1.000000,FootprMiB,78.128502
C,TOMP,5000,100000,10,1.000000,PeakRSS,56398.968750
C,TOMP,5000,100000,10,1.000000,X+y MiB,3814.735413
C,TOMP,5000,100000,10,2.000000,FDR,0.027273
C,TOMP,5000,100000,10,2.000000,TPR,1.000000
C,TOMP,5000,100000,10,2.000000,Avg L,1.100000
C,TOMP,5000,100000,10,2.000000,Avg T,4.000000
C,TOMP,5000,100000,10,2.000000,DGP s,1.808422
C,TOMP,5000,100000,10,2.000000,Select s,406.376733
C,TOMP,5000,100000,10,2.000000,s/T-iter,102.550582
