scenario,rho,snr,method,mean_coord_tpr,sd_coord_tpr,mean_coord_fdp,sd_coord_fdp,mean_exact_sup,mean_block_hit,mean_block_fdp,mean_full_block,mean_null_act,mean_purity,mean_lambda2,mean_T_stop,mean_M_found
WHOLE,0.350000,0.500000,M2(EN-O),0.019300,0.039001,0.036603,0.146098,0.000000,0.067500,0.041798,0.000000,0.001278,1.000000,1926399.341522,4.040000,100.000000
WHOLE,0.350000,0.500000,M3(IE-C),0.006600,0.017492,0.033500,0.174586,0.000000,0.027500,0.035000,0.000000,0.000500,0.000100,1926399.341522,3.805000,495.085000
WHOLE,0.350000,0.500000,M4(IE-O),0.007900,0.017001,0.025167,0.128275,0.000000,0.039500,0.025167,0.000000,0.000500,1.000000,1926399.341522,3.595000,100.000000
WHOLE,0.350000,1.000000,M1(EN-C),0.113100,0.097601,0.043095,0.075331,0.000000,0.323000,0.065360,0.004500,0.004889,0.000050,241756.345446,7.995000,494.830000
WHOLE,0.350000,1.000000,M2(EN-O),0.114700,0.098092,0.042811,0.079214,0.000000,0.329000,0.064325,0.006000,0.004889,1.000000,241756.345446,8.250000,100.000000
WHOLE,0.350000,1.000000,M3(IE-C),0.045200,0.062001,0.016053,0.061799,0.000000,0.153000,0.021415,0.001000,0.001167,0.000050,241756.345446,5.880000,494.830000
WHOLE,0.350000,1.000000,M4(IE-O),0.036600,0.032461,0.020012,0.077982,0.000000,0.183000,0.020012,0.000000,0.000833,1.000000,241756.345446,5.085000,100.000000
WHOLE,0.350000,2.000000,M1(EN-C),0.302400,0.114875,0.060433,0.070158,0.000000,0.687000,0.109825,0.036000,0.011278,0.000050,72608.543079,13.225000,494.910000
WHOLE,0.350000,2.000000,M2(EN-O),0.297800,0.124486,0.059294,0.069345,0.000000,0.670000,0.107107,0.038000,0.011000,1.000000,72608.543079,13.345000,100.000000
WHOLE,0.350000,2.000000,M3(IE-C),0.155500,0.106520,0.035324,0.075354,0.000000,0.430000,0.053530,0.006500,0.003667,0.000050,72608.543079,10.120000,494.910000
WHOLE,0.350000,2.000000,M4(IE-O),0.080200,0.038619,0.021518,0.067978,0.000000,0.401000,0.021518,0.000000,0.001278,1.000000,72608.543079,7.060000,100.000000
WHOLE,0.350000,5.000000,M1(EN-C),0.463300,0.116494,0.061128,0.056253,0.000000,0.848000,0.136700,0.111000,0.017889,0.000050,50756.804595,13.450000,494.835000
WHOLE,0.350000,5.000000,M2(EN-O),0.466500,0.114478,0.062883,0.059183,0.000000,0.851500,0.140612,0.110000,0.018611,1.000000,50756.804595,13.670000,100.000000
WHOLE,0.350000,5.000000,M3(IE-C),0.284400,0.121550,0.030155,0.042569,0.000000,0.664000,0.059984,0.033000,0.005944,0.000050,50756.804595,12.360000,494.835000
WHOLE,0.350000,5.000000,M4(IE-O),0.105300,0.034813,0.015149,0.047314,0.000000,0.526500,0.015149,0.000000,0.001111,1.000000,50756.804595,6.580000,100.000000
WHOLE,0.500000,0.100000,M1(EN-C),0.001200,0.007128,0.002500,0.035355,0.000000,0.004500,0.002500,0.000000,0.000056,0.571150,7242394.137992,3.880000,179.895000
WHOLE,0.500000,0.100000,M2(EN-O),0.001100,0.006709,0.007500,0.078898,0.000000,0.004000,0.007500,0.000000,0.000111,1.000000,7242394.137992,3.970000,100.000000
WHOLE,0.500000,0.100000,M3(IE-C),0.000700,0.004650,0.005000,0.070711,0.000000,0.003500,0.005000,0.000000,0.000056,0.571150,7242394.137992,3.785000,179.895000
WHOLE,0.500000,0.100000,M4(IE-O),0.000600,0.003965,0.005000,0.070711,0.000000,0.003000,0.005000,0.000000,0.000056,1.000000,7242394.137992,3.725000,100.000000
WHOLE,0.500000,0.200000,M1(EN-C),0.002900,0.019686,0.010909,0.100483,0.000000,0.007500,0.011429,0.000500,0.000222,0.570550,5096491.599783,3.545000,180.635000
WHOLE,0.500000,0.200000,M2(EN-O),0.003600,0.020620,0.013125,0.103216,0.000000,0.009500,0.015179,0.000000,0.000333,1.000000,5096491.599783,3.620000,100.000000
WHOLE,0.500000,0.200000,M3(IE-C),0.000400,0.003450,0.007500,0.078898,0.000000,0.002000,0.007500,0.000000,0.000111,0.570550,5096491.599783,3.360000,180.635000
WHOLE,0.500000,0.200000,M4(IE-O),0.001000,0.005582,0.006667,0.074423,0.000000,0.005000,0.006667,0.000000,0.000111,1.000000,5096491.599783,3.425000,100.000000
WHOLE,0.500000,0.500000,M1(EN-C),0.054600,0.072005,0.034376,0.087050,0.000000,0.144000,0.049016,0.003500,0.002611,0.571450,1677948.678812,5.615000,180.060000
WHOLE,0.500000,0.500000,M2(EN-O),0.056700,0.074288,0.035255,0.100828,0.000000,0.152500,0.047207,0.003500,0.002667,1.000000,1677948.678812,5.745000,100.000000
WHOLE,0.500000,0.500000,M3(IE-C),0.013300,0.019877,0.024583,0.100180,0.000000,0.066500,0.024583,0.000000,0.000778,0.571450,1677948.678812,4.060000,180.060000
WHOLE,0.500000,0.500000,M4(IE-O),0.014700,0.022370,0.017833,0.111828,0.000000,0.073500,0.017833,0.000000,0.000444,1.000000,1677948.678812,4.035000,100.000000
WHOLE,0.500000,1.000000,M1(EN-C),0.232800,0.137165,0.052675,0.082665,0.000000,0.503500,0.095643,0.044000,0.008833,0.572250,210361.791237,12.025000,180.060000
WHOLE,0.500000,1.000000,M2(EN-O),0.229900,0.138419,0.050922,0.076803,0.000000,0.497000,0.094263,0.039500,0.008333,1.000000,210361.791237,11.420000,100.000000
WHOLE,0.500000,1.000000,M3(IE-C),0.039500,0.034695,0.021034,0.083218,0.000000,0.197500,0.021034,0.000000,0.001056,0.572250,210361.791237,5.495000,180.060000
WHOLE,0.500000,1.000000,M4(IE-O),0.051800,0.037841,0.021274,0.078374,0.000000,0.259000,0.021274,0.000000,0.001167,1.000000,210361.791237,5.855000,100.000000
WHOLE,0.500000,2.000000,M1(EN-C),0.477400,0.114344,0.061582,0.057627,0.000000,0.830000,0.136536,0.150000,0.016778,0.573500,77962.566715,13.630000,179.955000
WHOLE,0.500000,2.000000,M2(EN-O),0.470200,0.119429,0.060352,0.060630,0.000000,0.821000,0.132261,0.146500,0.016444,1.000000,77962.566715,13.530000,100.000000
WHOLE,0.500000,2.000000,M3(IE-C),0.074600,0.031493,0.013550,0.055447,0.000000,0.373000,0.013550,0.000000,0.000833,0.573500,77962.566715,6.055000,179.955000
WHOLE,0.500000,2.000000,M4(IE-O),0.096400,0.034830,0.024548,0.069394,0.000000,0.481500,0.024548,0.000000,0.001611,1.000000,77962.566715,7.010000,100.000000
WHOLE,0.500000,5.000000,M1(EN-C),0.646400,0.105025,0.059043,0.049630,0.000000,0.921500,0.154257,0.312000,0.021444,0.571000,55363.549567,11.780000,179.845000
WHOLE,0.500000,5.000000,M2(EN-O),0.647400,0.107157,0.059052,0.047053,0.000000,0.918500,0.155728,0.313000,0.021278,1.000000,55363.549567,11.810000,100.000000
WHOLE,0.500000,5.000000,M3(IE-C),0.093600,0.034189,0.015851,0.050278,0.000000,0.467500,0.015851,0.000000,0.001111,0.571000,55363.549567,5.600000,179.845000
WHOLE,0.500000,5.000000,M4(IE-O),0.127000,0.030589,0.014883,0.043801,0.000000,0.634500,0.014972,0.000000,0.001278,1.000000,55363.549567,6.360000,100.000000
WHOLE,0.650000,0.100000,M1(EN-C),0.002000,0.011342,0.008500,0.080061,0.000000,0.006000,0.009167,0.000500,0.000167,1.000000,7788411.186695,4.085000,100.000000
WHOLE,0.650000,0.100000,M2(EN-O),0.002000,0.011342,0.008500,0.080061,0.000000,0.006000,0.009167,0.000500,0.000167,1.000000,7788411.186695,4.085000,100.000000
WHOLE,0.650000,0.100000,M3(IE-C),0.000900,0.005032,0.007500,0.078898,0.000000,0.004500,0.007500,0.000000,0.000111,1.000000,7788411.186695,3.540000,100.000000
