method,metric,row_label,col_label,mean,sd
EN,mean_FDP,snr=2.00,rho=0.99,0.107128,0.034294
EN,mean_TPP,snr=2.00,rho=0.99,0.975867,0.017216
IEN,mean_FDP,snr=2.00,rho=0.99,0.030777,0.052880
IEN,mean_TPP,snr=2.00,rho=0.99,0.071300,0.021253
EN,mean_FDP,snr=5.00,rho=0.30,0.086377,0.024396
EN,mean_TPP,snr=5.00,rho=0.30,0.858567,0.032761
IEN,mean_FDP,snr=5.00,rho=0.30,0.048591,0.019169
IEN,mean_TPP,snr=5.00,rho=0.30,0.831267,0.034801
EN,mean_FDP,snr=5.00,rho=0.50,0.088707,0.024737
EN,mean_TPP,snr=5.00,rho=0.50,0.869933,0.030867
IEN,mean_FDP,snr=5.00,rho=0.50,0.057841,0.021517
IEN,mean_TPP,snr=5.00,rho=0.50,0.853267,0.031660
EN,mean_FDP,snr=5.00,rho=0.70,0.088620,0.027888
EN,mean_TPP,snr=5.00,rho=0.70,0.868367,0.030838
IEN,mean_FDP,snr=5.00,rho=0.70,0.065750,0.024123
IEN,mean_TPP,snr=5.00,rho=0.70,0.855533,0.033028
EN,mean_FDP,snr=5.00,rho=0.90,0.086472,0.029200
EN,mean_TPP,snr=5.00,rho=0.90,0.912233,0.027245
IEN,mean_FDP,snr=5.00,rho=0.90,0.078802,0.024763
IEN,mean_TPP,snr=5.00,rho=0.90,0.904433,0.029568
EN,mean_FDP,snr=5.00,rho=0.95,0.083436,0.030579
EN,mean_TPP,snr=5.00,rho=0.95,0.956100,0.020786
IEN,mean_FDP,snr=5.00,rho=0.95,0.080513,0.026316
IEN,mean_TPP,snr=5.00,rho=0.95,0.950567,0.023029
EN,mean_FDP,snr=5.00,rho=0.99,0.085774,0.045268
EN,mean_TPP,snr=5.00,rho=0.99,0.999267,0.002295
IEN,mean_FDP,snr=5.00,rho=0.99,0.041237,0.049438
IEN,mean_TPP,snr=5.00,rho=0.99,0.109800,0.027758
