method,metric,rho,value
Screen-TRex Boot+DA-EQUI,TPR,0.3,0.21
Screen-TRex Boot+DA-EQUI,Est. FDR,0.3,0.0160152878241857
Screen-TRex Boot+DA-EQUI,FDR,0.4,0.669534191298897
Screen-TRex Boot+DA-EQUI,TPR,0.4,0.42
Screen-TRex Boot+DA-EQUI,Est. FDR,0.4,0.0243558728852847
Screen-TRex Boot+DA-EQUI,FDR,0.5,0.806189746133057
Screen-TRex Boot+DA-EQUI,TPR,0.5,0.27
Screen-TRex Boot+DA-EQUI,Est. FDR,0.5,0.0301335604623081
Screen-TRex Boot+DA-EQUI,FDR,0.6,0.89650715165134
Screen-TRex Boot+DA-EQUI,TPR,0.6,0.28
Screen-TRex Boot+DA-EQUI,Est. FDR,0.6,0.0369331889477885
Screen-TRex Boot+DA-EQUI,FDR,0.7,0.907897654599692
Screen-TRex Boot+DA-EQUI,TPR,0.7,0.21
Screen-TRex Boot+DA-EQUI,Est. FDR,0.7,0.0463085935475579
Screen-TRex Boot+DA-EQUI,FDR,0.8,0.914045964355562
Screen-TRex Boot+DA-EQUI,TPR,0.8,0.15
Screen-TRex Boot+DA-EQUI,Est. FDR,0.8,0.0575697810101835
Screen-TRex Boot+DA-EQUI,FDR,0.9,0.944823926073926
Screen-TRex Boot+DA-EQUI,TPR,0.9,0.08
Screen-TRex Boot+DA-EQUI,Est. FDR,0.9,0.0738855077670867
