method,metric,rho,value
Screen-TRex Boot+DA-AR1,FDR,0.4,0
Screen-TRex Boot+DA-AR1,TPR,0.4,0
Screen-TRex Boot+DA-AR1,Est. FDR,0.4,0
Screen-TRex Boot+DA-AR1,FDR,0.5,0
Screen-TRex Boot+DA-AR1,TPR,0.5,0.19
Screen-TRex Boot+DA-AR1,Est. FDR,0.5,0.0211111111111111
Screen-TRex Boot+DA-AR1,FDR,0.6,0
Screen-TRex Boot+DA-AR1,TPR,0.6,0
Screen-TRex Boot+DA-AR1,Est. FDR,0.6,0
Screen-TRex Boot+DA-AR1,FDR,0.7,0.0166666666666667
Screen-TRex Boot+DA-AR1,TPR,0.7,0.18
Screen-TRex Boot+DA-AR1,Est. FDR,0.7,0.0208333333333333
Screen-TRex Boot+DA-AR1,FDR,0.8,0.0125
Screen-TRex Boot+DA-AR1,TPR,0.8,0.07
Screen-TRex Boot+DA-AR1,Est. FDR,0.8,0.0125
Screen-TRex Boot+DA-AR1,FDR,0.9,0
Screen-TRex Boot+DA-AR1,TPR,0.9,0
Screen-TRex Boot+DA-AR1,Est. FDR,0.9,0
