method,metric,rho,value
Screen-TRex Boot+DA-BLOCK,TPR,0.3,0
Screen-TRex Boot+DA-BLOCK,Est. FDR,0.3,0
Screen-TRex Boot+DA-BLOCK,FDR,0.4,0
Screen-TRex Boot+DA-BLOCK,TPR,0.4,0
Screen-TRex Boot+DA-BLOCK,Est. FDR,0.4,0
Screen-TRex Boot+DA-BLOCK,FDR,0.5,0.0578947368421053
Screen-TRex Boot+DA-BLOCK,TPR,0.5,0.08
Screen-TRex Boot+DA-BLOCK,Est. FDR,0.5,0.00526315789473684
Screen-TRex Boot+DA-BLOCK,FDR,0.6,0.138571428571429
Screen-TRex Boot+DA-BLOCK,TPR,0.6,0.15
Screen-TRex Boot+DA-BLOCK,Est. FDR,0.6,0.0080952380952381
Screen-TRex Boot+DA-BLOCK,FDR,0.7,0
Screen-TRex Boot+DA-BLOCK,TPR,0.7,0
Screen-TRex Boot+DA-BLOCK,Est. FDR,0.7,0
Screen-TRex Boot+DA-BLOCK,FDR,0.8,0.0884615384615384
Screen-TRex Boot+DA-BLOCK,TPR,0.8,0.03
Screen-TRex Boot+DA-BLOCK,Est. FDR,0.8,0.00384615384615385
Screen-TRex Boot+DA-BLOCK,FDR,0.9,0.180714285714286
Screen-TRex Boot+DA-BLOCK,TPR,0.9,0.04
Screen-TRex Boot+DA-BLOCK,Est. FDR,0.9,0.00976190476190476
