solver,metric,rho,support_type,gap,value
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,100,0.075619
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,50,0.979500
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,50,0.054263
TREX-DA+AR1: TLARS,mean_FDP,0.200000,CappedSpread,50,0.088863
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,50,0.079865
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,20,0.979000
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,20,0.056346
TREX-DA+AR1: TLARS,mean_FDP,0.200000,CappedSpread,20,0.080510
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,20,0.082030
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,15,0.988000
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,15,0.032578
TREX-DA+AR1: TLARS,mean_FDP,0.200000,CappedSpread,15,0.090086
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,15,0.078576
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,10,0.985000
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,10,0.045666
TREX-DA+AR1: TLARS,mean_FDP,0.200000,CappedSpread,10,0.090222
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,10,0.077485
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,5,0.978500
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,5,0.064875
TREX-DA+AR1: TLARS,mean_FDP,0.200000,CappedSpread,5,0.079463
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,5,0.082251
TREX-DA+AR1: TLARS,mean_TPP,0.200000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.200000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.200000,CappedSpread,1,0.105000
TREX-DA+AR1: TLARS,sd_FDP,0.200000,CappedSpread,1,0.307323
TREX-DA+AR1: TLARS,mean_TPP,0.200000,Random,,0.929000
TREX-DA+AR1: TLARS,sd_TPP,0.200000,Random,,0.111900
TREX-DA+AR1: TLARS,mean_FDP,0.200000,Random,,0.071286
TREX-DA+AR1: TLARS,sd_FDP,0.200000,Random,,0.078916
TREX-DA+AR1: TLARS,mean_TPP,0.300000,CappedSpread,100,0.977000
TREX-DA+AR1: TLARS,sd_TPP,0.300000,CappedSpread,100,0.048815
TREX-DA+AR1: TLARS,mean_FDP,0.300000,CappedSpread,100,0.075383
TREX-DA+AR1: TLARS,sd_FDP,0.300000,CappedSpread,100,0.082128
TREX-DA+AR1: TLARS,mean_TPP,0.300000,CappedSpread,50,0.980000
TREX-DA+AR1: TLARS,sd_TPP,0.300000,CappedSpread,50,0.047022
TREX-DA+AR1: TLARS,mean_FDP,0.300000,CappedSpread,50,0.087861
TREX-DA+AR1: TLARS,sd_FDP,0.300000,CappedSpread,50,0.072715
TREX-DA+AR1: TLARS,mean_TPP,0.300000,CappedSpread,20,0.974500
TREX-DA+AR1: TLARS,sd_TPP,0.300000,CappedSpread,20,0.053045
TREX-DA+AR1: TLARS,mean_FDP,0.300000,CappedSpread,20,0.080128
TREX-DA+AR1: TLARS,sd_FDP,0.300000,CappedSpread,20,0.079033
TREX-DA+AR1: TLARS,mean_TPP,0.300000,CappedSpread,15,0.976000
TREX-DA+AR1: TLARS,sd_TPP,0.300000,CappedSpread,15,0.045102
TREX-DA+AR1: TLARS,mean_FDP,0.300000,CappedSpread,15,0.075795
TREX-DA+AR1: TLARS,sd_FDP,0.300000,CappedSpread,15,0.074435
TREX-DA+AR1: TLARS,mean_TPP,0.300000,CappedSpread,10,0.972500
TREX-DA+AR1: TLARS,sd_TPP,0.300000,CappedSpread,10,0.066452
TREX-DA+AR1: TLARS,mean_FDP,0.300000,CappedSpread,10,0.073324
TREX-DA+AR1: TLARS,sd_FDP,0.300000,CappedSpread,10,0.079377
TREX-DA+AR1: TLARS,mean_TPP,0.300000,CappedSpread,5,0.967500
TREX-DA+AR1: TLARS,sd_TPP,0.300000,CappedSpread,5,0.076308
TREX-DA+AR1: TLARS,mean_FDP,0.300000,CappedSpread,5,0.075939
TREX-DA+AR1: TLARS,sd_FDP,0.300000,CappedSpread,5,0.081483
TREX-DA+AR1: TLARS,mean_TPP,0.300000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.300000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.300000,CappedSpread,1,0.105000
TREX-DA+AR1: TLARS,sd_FDP,0.300000,CappedSpread,1,0.307323
TREX-DA+AR1: TLARS,mean_TPP,0.300000,Random,,0.910000
TREX-DA+AR1: TLARS,sd_TPP,0.300000,Random,,0.127204
TREX-DA+AR1: TLARS,mean_FDP,0.300000,Random,,0.072112
TREX-DA+AR1: TLARS,sd_FDP,0.300000,Random,,0.078018
TREX-DA+AR1: TLARS,mean_TPP,0.400000,CappedSpread,100,0.966000
TREX-DA+AR1: TLARS,sd_TPP,0.400000,CappedSpread,100,0.069050
TREX-DA+AR1: TLARS,mean_FDP,0.400000,CappedSpread,100,0.074611
TREX-DA+AR1: TLARS,sd_FDP,0.400000,CappedSpread,100,0.077400
TREX-DA+AR1: TLARS,mean_TPP,0.400000,CappedSpread,50,0.964500
TREX-DA+AR1: TLARS,sd_TPP,0.400000,CappedSpread,50,0.059222
TREX-DA+AR1: TLARS,mean_FDP,0.400000,CappedSpread,50,0.074297
TREX-DA+AR1: TLARS,sd_FDP,0.400000,CappedSpread,50,0.074624
TREX-DA+AR1: TLARS,mean_TPP,0.400000,CappedSpread,20,0.957500
TREX-DA+AR1: TLARS,sd_TPP,0.400000,CappedSpread,20,0.084733
TREX-DA+AR1: TLARS,mean_FDP,0.400000,CappedSpread,20,0.077109
TREX-DA+AR1: TLARS,sd_FDP,0.400000,CappedSpread,20,0.070879
TREX-DA+AR1: TLARS,mean_TPP,0.400000,CappedSpread,15,0.964000
TREX-DA+AR1: TLARS,sd_TPP,0.400000,CappedSpread,15,0.072320
TREX-DA+AR1: TLARS,mean_FDP,0.400000,CappedSpread,15,0.080855
TREX-DA+AR1: TLARS,sd_FDP,0.400000,CappedSpread,15,0.078776
TREX-DA+AR1: TLARS,mean_TPP,0.400000,CappedSpread,10,0.962000
TREX-DA+AR1: TLARS,sd_TPP,0.400000,CappedSpread,10,0.071284
TREX-DA+AR1: TLARS,mean_FDP,0.400000,CappedSpread,10,0.070482
TREX-DA+AR1: TLARS,sd_FDP,0.400000,CappedSpread,10,0.071773
TREX-DA+AR1: TLARS,mean_TPP,0.400000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.400000,CappedSpread,5,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.400000,CappedSpread,5,0.045000
TREX-DA+AR1: TLARS,sd_FDP,0.400000,CappedSpread,5,0.207824
TREX-DA+AR1: TLARS,mean_TPP,0.400000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,sd_TPP,0.400000,CappedSpread,1,0.000000
TREX-DA+AR1: TLARS,mean_FDP,0.400000,CappedSpread,1,0.090000
TREX-DA+AR1: TLARS,sd_FDP,0.400000,CappedSpread,1,0.286900
TREX-DA+AR1: TLARS,mean_TPP,0.400000,Random,,0.884500
TREX-DA+AR1: TLARS,sd_TPP,0.400000,Random,,0.145311
TREX-DA+AR1: TLARS,mean_FDP,0.400000,Random,,0.060935
TREX-DA+AR1: TLARS,sd_FDP,0.400000,Random,,0.073761
