method,metric,row_label,col_label,mean,sd
IEN,mean_TPP,snr=1.00,rho=0.70,0.968700,0.063546
EN,mean_FDP,snr=1.00,rho=0.90,0.065238,0.041518
EN,mean_TPP,snr=1.00,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.90,0.064338,0.043659
EN+AUG,mean_TPP,snr=1.00,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.90,0.025773,0.025385
IEN,mean_TPP,snr=1.00,rho=0.90,0.990200,0.043421
EN,mean_FDP,snr=1.00,rho=0.95,0.062398,0.042049
EN,mean_TPP,snr=1.00,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.95,0.064020,0.044854
EN+AUG,mean_TPP,snr=1.00,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.95,0.021965,0.024895
IEN,mean_TPP,snr=1.00,rho=0.95,0.991767,0.041107
EN,mean_FDP,snr=1.00,rho=0.99,0.059546,0.040622
EN,mean_TPP,snr=1.00,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.99,0.060164,0.040580
EN+AUG,mean_TPP,snr=1.00,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=1.00,rho=0.99,0.019533,0.001705
EN,mean_FDP,snr=2.00,rho=0.30,0.085556,0.023549
EN,mean_TPP,snr=2.00,rho=0.30,0.961933,0.027755
EN+AUG,mean_FDP,snr=2.00,rho=0.30,0.086470,0.024235
EN+AUG,mean_TPP,snr=2.00,rho=0.30,0.975700,0.021625
IEN,mean_FDP,snr=2.00,rho=0.30,0.005906,0.009051
IEN,mean_TPP,snr=2.00,rho=0.30,0.759433,0.095446
EN,mean_FDP,snr=2.00,rho=0.50,0.079348,0.031573
EN,mean_TPP,snr=2.00,rho=0.50,0.998633,0.004190
EN+AUG,mean_FDP,snr=2.00,rho=0.50,0.079473,0.034857
EN+AUG,mean_TPP,snr=2.00,rho=0.50,0.999300,0.002623
IEN,mean_FDP,snr=2.00,rho=0.50,0.011756,0.014665
IEN,mean_TPP,snr=2.00,rho=0.50,0.967767,0.047428
EN,mean_FDP,snr=2.00,rho=0.70,0.068038,0.040237
EN,mean_TPP,snr=2.00,rho=0.70,0.999967,0.000471
EN+AUG,mean_FDP,snr=2.00,rho=0.70,0.065246,0.041904
EN+AUG,mean_TPP,snr=2.00,rho=0.70,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.70,0.017782,0.022235
IEN,mean_TPP,snr=2.00,rho=0.70,0.995867,0.021745
EN,mean_FDP,snr=2.00,rho=0.90,0.060171,0.040695
EN,mean_TPP,snr=2.00,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.90,0.061019,0.042926
EN+AUG,mean_TPP,snr=2.00,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.90,0.018179,0.024518
IEN,mean_TPP,snr=2.00,rho=0.90,0.999067,0.011084
EN,mean_FDP,snr=2.00,rho=0.95,0.061206,0.041576
EN,mean_TPP,snr=2.00,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.95,0.058480,0.043072
EN+AUG,mean_TPP,snr=2.00,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.95,0.014240,0.022698
IEN,mean_TPP,snr=2.00,rho=0.95,0.998867,0.013861
EN,mean_FDP,snr=2.00,rho=0.99,0.058067,0.037410
EN,mean_TPP,snr=2.00,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.99,0.057645,0.039132
EN+AUG,mean_TPP,snr=2.00,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=2.00,rho=0.99,0.019867,0.000936
EN,mean_FDP,snr=5.00,rho=0.30,0.088607,0.024412
EN,mean_TPP,snr=5.00,rho=0.30,0.987933,0.013373
EN+AUG,mean_FDP,snr=5.00,rho=0.30,0.087050,0.027118
EN+AUG,mean_TPP,snr=5.00,rho=0.30,0.993333,0.008454
IEN,mean_FDP,snr=5.00,rho=0.30,0.005594,0.008046
IEN,mean_TPP,snr=5.00,rho=0.30,0.886267,0.066608
EN,mean_FDP,snr=5.00,rho=0.50,0.072422,0.035403
EN,mean_TPP,snr=5.00,rho=0.50,0.999700,0.001677
EN+AUG,mean_FDP,snr=5.00,rho=0.50,0.069773,0.040383
EN+AUG,mean_TPP,snr=5.00,rho=0.50,0.999867,0.001150
IEN,mean_FDP,snr=5.00,rho=0.50,0.014102,0.017995
IEN,mean_TPP,snr=5.00,rho=0.50,0.994233,0.019968
EN,mean_FDP,snr=5.00,rho=0.70,0.064022,0.040672
EN,mean_TPP,snr=5.00,rho=0.70,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.70,0.060803,0.043063
EN+AUG,mean_TPP,snr=5.00,rho=0.70,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.70,0.016481,0.022476
IEN,mean_TPP,snr=5.00,rho=0.70,0.999500,0.005302
EN,mean_FDP,snr=5.00,rho=0.90,0.063117,0.041653
EN,mean_TPP,snr=5.00,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.90,0.059076,0.043251
EN+AUG,mean_TPP,snr=5.00,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.90,0.004853,0.013382
IEN,mean_TPP,snr=5.00,rho=0.90,1.000000,0.000000
EN,mean_FDP,snr=5.00,rho=0.95,0.063207,0.041658
EN,mean_TPP,snr=5.00,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.95,0.059625,0.043022
EN+AUG,mean_TPP,snr=5.00,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.95,0.004944,0.014733
IEN,mean_TPP,snr=5.00,rho=0.95,1.000000,0.000000
EN,mean_FDP,snr=5.00,rho=0.99,0.061277,0.038046
EN,mean_TPP,snr=5.00,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.99,0.062987,0.040755
EN+AUG,mean_TPP,snr=5.00,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=5.00,rho=0.99,0.020000,0.000000
