method,metric,SNR,value
TAFS-0.3 (Bootstrap),Est. FDR,0.1,0.379166666666667
TAFS-0.3 (Bootstrap),FDR,0.2,0.108333333333333
TAFS-0.3 (Bootstrap),TPR,0.2,0.075
TAFS-0.3 (Bootstrap),Est. FDR,0.2,0.2625
TAFS-0.3 (Bootstrap),FDR,0.5,0.0183333333333333
TAFS-0.3 (Bootstrap),TPR,0.5,0.18
TAFS-0.3 (Bootstrap),Est. FDR,0.5,0.0705555555555556
TAFS-0.3 (Bootstrap),FDR,0.6,0.0497619047619048
TAFS-0.3 (Bootstrap),TPR,0.6,0.175
TAFS-0.3 (Bootstrap),Est. FDR,0.6,0.0451190476190476
TAFS-0.3 (Bootstrap),FDR,1,0.0292929292929293
TAFS-0.3 (Bootstrap),TPR,1,0.72
TAFS-0.3 (Bootstrap),Est. FDR,1,0.0754040404040404
TAFS-0.3 (Bootstrap),FDR,2,0.046969696969697
TAFS-0.3 (Bootstrap),TPR,2,0.65
TAFS-0.3 (Bootstrap),Est. FDR,2,0.0603030303030303
TAFS-0.3 (Bootstrap),FDR,5,0.0431818181818182
TAFS-0.3 (Bootstrap),TPR,5,0.75
TAFS-0.3 (Bootstrap),Est. FDR,5,0.0706818181818182
TOMP (Bootstrap),FDR,0.01,0.45
TOMP (Bootstrap),TPR,0.01,0.005
TOMP (Bootstrap),Est. FDR,0.01,0.425
TOMP (Bootstrap),FDR,0.1,0.3625
TOMP (Bootstrap),TPR,0.1,0.05
TOMP (Bootstrap),Est. FDR,0.1,0.479166666666667
TOMP (Bootstrap),FDR,0.2,0.326666666666667
TOMP (Bootstrap),TPR,0.2,0.13
TOMP (Bootstrap),Est. FDR,0.2,0.3975
TOMP (Bootstrap),FDR,0.5,0.110555555555556
TOMP (Bootstrap),TPR,0.5,0.4
TOMP (Bootstrap),Est. FDR,0.5,0.180138888888889
TOMP (Bootstrap),FDR,0.6,0.075021645021645
TOMP (Bootstrap),TPR,0.6,0.605
TOMP (Bootstrap),Est. FDR,0.6,0.151886724386724
TOMP (Bootstrap),FDR,1,0.0420707070707071
TOMP (Bootstrap),TPR,1,0.89
TOMP (Bootstrap),Est. FDR,1,0.0976262626262626
TOMP (Bootstrap),FDR,2,0.0938311688311688
TOMP (Bootstrap),TPR,2,1
TOMP (Bootstrap),Est. FDR,2,0.0906168831168831
TOMP (Bootstrap),FDR,5,0.0651515151515152
TOMP (Bootstrap),TPR,5,1
TOMP (Bootstrap),Est. FDR,5,0.0934848484848485
