solver,support_type,metric,SNR,Rho,value
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.700000,0.092313
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.800000,0.028000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.800000,0.073778
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.800000,0.089500
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.800000,0.246156
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.200000,0.900000,0.035000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.200000,0.900000,0.074179
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.200000,0.900000,0.353067
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.200000,0.900000,0.432363
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.100000,0.085000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.100000,0.172697
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.100000,0.016476
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.100000,0.063249
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.200000,0.096500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.200000,0.186310
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.200000,0.020304
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.200000,0.079964
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.300000,0.102500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.300000,0.191382
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.300000,0.022994
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.300000,0.075768
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.400000,0.104000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.400000,0.198193
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.400000,0.025103
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.400000,0.084570
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.500000,0.101000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,0.500000,0.500000,0.196448
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,0.500000,0.500000,0.029618
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,0.500000,0.500000,0.104961
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,0.500000,0.600000,0.093000
