solver,support_type,metric,Kappa,Rho,value
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,3.000000,0.700000,0.098424
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,3.000000,0.800000,0.883000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,3.000000,0.800000,0.126852
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,3.000000,0.800000,0.110304
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,3.000000,0.800000,0.095630
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,3.000000,0.900000,0.844000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,3.000000,0.900000,0.138055
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,3.000000,0.900000,0.104749
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,3.000000,0.900000,0.103404
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.100000,0.933500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.100000,0.100390
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.100000,0.087584
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.100000,0.087605
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.300000,0.969500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.300000,0.060315
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.300000,0.112674
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.300000,0.087789
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.500000,0.946000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.500000,0.076243
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.500000,0.118537
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.500000,0.090062
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.700000,0.880000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.700000,0.116049
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.700000,0.135371
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.700000,0.094804
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.800000,0.835500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.800000,0.129900
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.800000,0.136541
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.800000,0.108736
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,5.000000,0.900000,0.779000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,5.000000,0.900000,0.156786
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,5.000000,0.900000,0.156804
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,5.000000,0.900000,0.116989
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,7.000000,0.100000,0.919500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,7.000000,0.100000,0.117211
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,7.000000,0.100000,0.082154
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,7.000000,0.100000,0.082892
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,7.000000,0.300000,0.974000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,7.000000,0.300000,0.052323
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,7.000000,0.300000,0.110271
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,7.000000,0.300000,0.082477
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,7.000000,0.500000,0.945000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,7.000000,0.500000,0.072118
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,7.000000,0.500000,0.112418
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,7.000000,0.500000,0.091034
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,7.000000,0.700000,0.883500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,7.000000,0.700000,0.127511
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,7.000000,0.700000,0.148284
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,7.000000,0.700000,0.102055
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,7.000000,0.800000,0.787500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,7.000000,0.800000,0.145256
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,7.000000,0.800000,0.172232
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,7.000000,0.800000,0.128751
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,7.000000,0.900000,0.728000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,7.000000,0.900000,0.147051
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,7.000000,0.900000,0.243260
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,7.000000,0.900000,0.133435
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,10.000000,0.100000,0.923000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,10.000000,0.100000,0.116356
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,10.000000,0.100000,0.088162
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,10.000000,0.100000,0.092828
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,10.000000,0.300000,0.971500
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,10.000000,0.300000,0.049497
TREX-DA+NN: TLARS,CappedSpread,mean_FDP,10.000000,0.300000,0.119255
TREX-DA+NN: TLARS,CappedSpread,sd_FDP,10.000000,0.300000,0.091047
TREX-DA+NN: TLARS,CappedSpread,mean_TPP,10.000000,0.500000,0.948000
TREX-DA+NN: TLARS,CappedSpread,sd_TPP,10.000000,0.500000,0.074994
