response,metric,tfdr,snr_db,value
plugin,TPR,0.400000,-7.000000,1.000000
plugin,TPR,0.450000,-7.000000,1.000000
plugin,TPR,0.500000,-7.000000,1.000000
plugin,TPR,0.010000,-5.000000,0.995000
plugin,TPR,0.050000,-5.000000,1.000000
plugin,TPR,0.100000,-5.000000,1.000000
plugin,TPR,0.150000,-5.000000,1.000000
plugin,TPR,0.200000,-5.000000,1.000000
plugin,TPR,0.250000,-5.000000,1.000000
plugin,TPR,0.300000,-5.000000,1.000000
plugin,TPR,0.350000,-5.000000,1.000000
plugin,TPR,0.400000,-5.000000,1.000000
plugin,TPR,0.450000,-5.000000,1.000000
plugin,TPR,0.500000,-5.000000,1.000000
plugin,TPR,0.010000,-3.000000,1.000000
plugin,TPR,0.050000,-3.000000,1.000000
plugin,TPR,0.100000,-3.000000,1.000000
plugin,TPR,0.150000,-3.000000,1.000000
plugin,TPR,0.200000,-3.000000,1.000000
plugin,TPR,0.250000,-3.000000,1.000000
plugin,TPR,0.300000,-3.000000,1.000000
plugin,TPR,0.350000,-3.000000,1.000000
plugin,TPR,0.400000,-3.000000,1.000000
plugin,TPR,0.450000,-3.000000,1.000000
plugin,TPR,0.500000,-3.000000,1.000000
plugin,TPR,0.010000,0.000000,1.000000
plugin,TPR,0.050000,0.000000,1.000000
plugin,TPR,0.100000,0.000000,1.000000
plugin,TPR,0.150000,0.000000,1.000000
plugin,TPR,0.200000,0.000000,1.000000
plugin,TPR,0.250000,0.000000,1.000000
plugin,TPR,0.300000,0.000000,1.000000
plugin,TPR,0.350000,0.000000,1.000000
plugin,TPR,0.400000,0.000000,1.000000
plugin,TPR,0.450000,0.000000,1.000000
plugin,TPR,0.500000,0.000000,1.000000
plugin,TPR,0.010000,3.000000,1.000000
plugin,TPR,0.050000,3.000000,1.000000
plugin,TPR,0.100000,3.000000,1.000000
plugin,TPR,0.150000,3.000000,1.000000
plugin,TPR,0.200000,3.000000,1.000000
plugin,TPR,0.250000,3.000000,1.000000
plugin,TPR,0.300000,3.000000,1.000000
plugin,TPR,0.350000,3.000000,1.000000
