method,metric,p1,value
TRexSPCA-ENaug-Act,TPR,5.000000,1.000000
TRexSPCA-ENaug-Act,PEV,5.000000,0.464387
TRexSPCA-ENaug-Act,PEVsig,5.000000,0.825016
TRexSPCA-ENaug-Act,PEVsigmix,5.000000,0.827121
TRexSPCA-ENaug-Act,FDR,10.000000,0.127864
TRexSPCA-ENaug-Act,TPR,10.000000,1.000000
TRexSPCA-ENaug-Act,PEV,10.000000,0.458513
TRexSPCA-ENaug-Act,PEVsig,10.000000,0.757533
TRexSPCA-ENaug-Act,PEVsigmix,10.000000,0.755680
TRexSPCA-ENaug-Act,FDR,15.000000,0.203261
TRexSPCA-ENaug-Act,TPR,15.000000,1.000000
TRexSPCA-ENaug-Act,PEV,15.000000,0.470568
TRexSPCA-ENaug-Act,PEVsig,15.000000,0.744666
TRexSPCA-ENaug-Act,PEVsigmix,15.000000,0.738110
TRexSPCA-ENaug-Act,FDR,20.000000,0.215642
TRexSPCA-ENaug-Act,TPR,20.000000,1.000000
TRexSPCA-ENaug-Act,PEV,20.000000,0.484117
TRexSPCA-ENaug-Act,PEVsig,20.000000,0.751456
TRexSPCA-ENaug-Act,PEVsigmix,20.000000,0.743712
TRexSPCA-ENaug-Act,FDR,25.000000,0.182088
TRexSPCA-ENaug-Act,TPR,25.000000,1.000000
TRexSPCA-ENaug-Act,PEV,25.000000,0.498625
TRexSPCA-ENaug-Act,PEVsig,25.000000,0.767339
TRexSPCA-ENaug-Act,PEVsigmix,25.000000,0.757295
TRexSPCA-ENaug-Act,FDR,30.000000,0.107443
TRexSPCA-ENaug-Act,TPR,30.000000,1.000000
TRexSPCA-ENaug-Act,PEV,30.000000,0.511589
TRexSPCA-ENaug-Act,PEVsig,30.000000,0.786123
TRexSPCA-ENaug-Act,PEVsigmix,30.000000,0.766406
TRexSPCA-EN-Thr,FDR,1.000000,0.010833
TRexSPCA-EN-Thr,TPR,1.000000,1.000000
TRexSPCA-EN-Thr,PEV,1.000000,0.513870
TRexSPCA-EN-Thr,PEVsig,1.000000,0.997188
TRexSPCA-EN-Thr,PEVsigmix,1.000000,0.999053
TRexSPCA-EN-Thr,FDR,5.000000,0.067936
TRexSPCA-EN-Thr,TPR,5.000000,1.000000
TRexSPCA-EN-Thr,PEV,5.000000,0.497183
TRexSPCA-EN-Thr,PEVsig,5.000000,0.883260
TRexSPCA-EN-Thr,PEVsigmix,5.000000,0.901404
TRexSPCA-EN-Thr,FDR,10.000000,0.127384
TRexSPCA-EN-Thr,TPR,10.000000,1.000000
TRexSPCA-EN-Thr,PEV,10.000000,0.491613
TRexSPCA-EN-Thr,PEVsig,10.000000,0.812209
TRexSPCA-EN-Thr,PEVsigmix,10.000000,0.826165
TRexSPCA-EN-Thr,FDR,15.000000,0.200392
TRexSPCA-EN-Thr,TPR,15.000000,1.000000
TRexSPCA-EN-Thr,PEV,15.000000,0.496269
TRexSPCA-EN-Thr,PEVsig,15.000000,0.785269
TRexSPCA-EN-Thr,PEVsigmix,15.000000,0.792120
TRexSPCA-EN-Thr,FDR,20.000000,0.210701
TRexSPCA-EN-Thr,TPR,20.000000,1.000000
TRexSPCA-EN-Thr,PEV,20.000000,0.505416
TRexSPCA-EN-Thr,PEVsig,20.000000,0.784523
TRexSPCA-EN-Thr,PEVsigmix,20.000000,0.790657
TRexSPCA-EN-Thr,FDR,25.000000,0.181510
TRexSPCA-EN-Thr,TPR,25.000000,1.000000
TRexSPCA-EN-Thr,PEV,25.000000,0.516639
TRexSPCA-EN-Thr,PEVsig,25.000000,0.795082
TRexSPCA-EN-Thr,PEVsigmix,25.000000,0.799597
TRexSPCA-EN-Thr,FDR,30.000000,0.107518
TRexSPCA-EN-Thr,TPR,30.000000,1.000000
TRexSPCA-EN-Thr,PEV,30.000000,0.526822
TRexSPCA-EN-Thr,PEVsig,30.000000,0.809569
TRexSPCA-EN-Thr,PEVsigmix,30.000000,0.800534
TRexSPCA-ENaug-Thr,FDR,1.000000,0.013333
TRexSPCA-ENaug-Thr,TPR,1.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,1.000000,0.514134
TRexSPCA-ENaug-Thr,PEVsig,1.000000,0.997703
TRexSPCA-ENaug-Thr,PEVsigmix,1.000000,0.999159
TRexSPCA-ENaug-Thr,FDR,5.000000,0.077052
