method,metric,n_pcs,value
TRexSPCA-EN-Act,PEVsigmix,40.000000,0.754077
TRexSPCA-EN-Act,FDR,49.000000,0.146741
TRexSPCA-EN-Act,TPR,49.000000,1.000000
TRexSPCA-EN-Act,PEV,49.000000,0.483838
TRexSPCA-EN-Act,PEVsig,49.000000,0.799304
TRexSPCA-EN-Act,PEVsigmix,49.000000,0.760429
TRexSPCA-ENaug-Act,FDR,1.000000,0.122003
TRexSPCA-ENaug-Act,TPR,1.000000,1.000000
TRexSPCA-ENaug-Act,PEV,1.000000,0.373518
TRexSPCA-ENaug-Act,PEVsig,1.000000,0.618093
TRexSPCA-ENaug-Act,PEVsigmix,1.000000,0.618080
TRexSPCA-ENaug-Act,FDR,3.000000,0.111189
TRexSPCA-ENaug-Act,TPR,3.000000,1.000000
TRexSPCA-ENaug-Act,PEV,3.000000,0.458406
TRexSPCA-ENaug-Act,PEVsig,3.000000,0.756203
TRexSPCA-ENaug-Act,PEVsigmix,3.000000,0.753859
TRexSPCA-ENaug-Act,FDR,5.000000,0.123986
TRexSPCA-ENaug-Act,TPR,5.000000,1.000000
TRexSPCA-ENaug-Act,PEV,5.000000,0.465035
TRexSPCA-ENaug-Act,PEVsig,5.000000,0.769713
TRexSPCA-ENaug-Act,PEVsigmix,5.000000,0.750329
TRexSPCA-ENaug-Act,FDR,10.000000,0.115636
TRexSPCA-ENaug-Act,TPR,10.000000,1.000000
TRexSPCA-ENaug-Act,PEV,10.000000,0.477630
TRexSPCA-ENaug-Act,PEVsig,10.000000,0.787982
TRexSPCA-ENaug-Act,PEVsigmix,10.000000,0.751297
TRexSPCA-ENaug-Act,FDR,20.000000,0.107380
TRexSPCA-ENaug-Act,TPR,20.000000,1.000000
TRexSPCA-ENaug-Act,PEV,20.000000,0.480396
TRexSPCA-ENaug-Act,PEVsig,20.000000,0.793326
TRexSPCA-ENaug-Act,PEVsigmix,20.000000,0.754519
TRexSPCA-ENaug-Act,FDR,30.000000,0.117428
TRexSPCA-ENaug-Act,TPR,30.000000,1.000000
TRexSPCA-ENaug-Act,PEV,30.000000,0.479299
TRexSPCA-ENaug-Act,PEVsig,30.000000,0.792293
TRexSPCA-ENaug-Act,PEVsigmix,30.000000,0.753679
TRexSPCA-ENaug-Act,FDR,40.000000,0.118640
TRexSPCA-ENaug-Act,TPR,40.000000,1.000000
TRexSPCA-ENaug-Act,PEV,40.000000,0.480258
TRexSPCA-ENaug-Act,PEVsig,40.000000,0.792817
TRexSPCA-ENaug-Act,PEVsigmix,40.000000,0.753186
TRexSPCA-ENaug-Act,FDR,49.000000,0.142623
TRexSPCA-ENaug-Act,TPR,49.000000,1.000000
TRexSPCA-ENaug-Act,PEV,49.000000,0.482135
TRexSPCA-ENaug-Act,PEVsig,49.000000,0.796482
TRexSPCA-ENaug-Act,PEVsigmix,49.000000,0.758452
TRexSPCA-EN-Thr,FDR,1.000000,0.125280
TRexSPCA-EN-Thr,TPR,1.000000,1.000000
TRexSPCA-EN-Thr,PEV,1.000000,0.387388
