method,metric,tfdr,value
TRexSPCA-EN-Act,TPR,0.100000,1.000000
TRexSPCA-EN-Act,PEV,0.100000,0.457706
TRexSPCA-EN-Act,PEVsig,0.100000,0.756668
TRexSPCA-EN-Act,PEVsigmix,0.100000,0.754128
TRexSPCA-EN-Act,FDR,0.150000,0.209988
TRexSPCA-EN-Act,TPR,0.150000,1.000000
TRexSPCA-EN-Act,PEV,0.150000,0.463408
TRexSPCA-EN-Act,PEVsig,0.150000,0.766381
TRexSPCA-EN-Act,PEVsigmix,0.150000,0.761275
TRexSPCA-EN-Act,FDR,0.200000,0.307057
TRexSPCA-EN-Act,TPR,0.200000,1.000000
TRexSPCA-EN-Act,PEV,0.200000,0.475593
TRexSPCA-EN-Act,PEVsig,0.200000,0.784026
TRexSPCA-EN-Act,PEVsigmix,0.200000,0.775674
TRexSPCA-EN-Act,FDR,0.250000,0.352998
TRexSPCA-EN-Act,TPR,0.250000,1.000000
TRexSPCA-EN-Act,PEV,0.250000,0.479538
TRexSPCA-EN-Act,PEVsig,0.250000,0.793341
TRexSPCA-EN-Act,PEVsigmix,0.250000,0.781527
TRexSPCA-EN-Act,FDR,0.300000,0.418703
TRexSPCA-EN-Act,TPR,0.300000,1.000000
TRexSPCA-EN-Act,PEV,0.300000,0.484726
TRexSPCA-EN-Act,PEVsig,0.300000,0.801551
TRexSPCA-EN-Act,PEVsigmix,0.300000,0.789524
TRexSPCA-EN-Act,FDR,0.350000,0.462232
TRexSPCA-EN-Act,TPR,0.350000,1.000000
TRexSPCA-EN-Act,PEV,0.350000,0.487404
TRexSPCA-EN-Act,PEVsig,0.350000,0.805783
TRexSPCA-EN-Act,PEVsigmix,0.350000,0.793001
TRexSPCA-EN-Act,FDR,0.400000,0.538397
TRexSPCA-EN-Act,TPR,0.400000,1.000000
TRexSPCA-EN-Act,PEV,0.400000,0.492340
TRexSPCA-EN-Act,PEVsig,0.400000,0.814123
TRexSPCA-EN-Act,PEVsigmix,0.400000,0.802125
TRexSPCA-EN-Act,FDR,0.450000,0.563882
TRexSPCA-EN-Act,TPR,0.450000,1.000000
TRexSPCA-EN-Act,PEV,0.450000,0.490695
TRexSPCA-EN-Act,PEVsig,0.450000,0.809091
TRexSPCA-EN-Act,PEVsigmix,0.450000,0.797850
TRexSPCA-EN-Act,FDR,0.500000,0.622818
TRexSPCA-EN-Act,TPR,0.500000,1.000000
TRexSPCA-EN-Act,PEV,0.500000,0.492330
TRexSPCA-EN-Act,PEVsig,0.500000,0.814540
TRexSPCA-EN-Act,PEVsigmix,0.500000,0.803368
TRexSPCA-ENaug-Act,FDR,0.010000,0.017801
TRexSPCA-ENaug-Act,TPR,0.010000,1.000000
TRexSPCA-ENaug-Act,PEV,0.010000,0.364742
TRexSPCA-ENaug-Act,PEVsig,0.010000,0.601887
TRexSPCA-ENaug-Act,PEVsigmix,0.010000,0.602055
TRexSPCA-ENaug-Act,FDR,0.050000,0.076946
TRexSPCA-ENaug-Act,TPR,0.050000,1.000000
TRexSPCA-ENaug-Act,PEV,0.050000,0.443476
TRexSPCA-ENaug-Act,PEVsig,0.050000,0.731510
TRexSPCA-ENaug-Act,PEVsigmix,0.050000,0.735085
TRexSPCA-ENaug-Act,FDR,0.100000,0.113646
TRexSPCA-ENaug-Act,TPR,0.100000,1.000000
TRexSPCA-ENaug-Act,PEV,0.100000,0.457821
TRexSPCA-ENaug-Act,PEVsig,0.100000,0.756838
TRexSPCA-ENaug-Act,PEVsigmix,0.100000,0.754475
TRexSPCA-ENaug-Act,FDR,0.150000,0.203744
TRexSPCA-ENaug-Act,TPR,0.150000,1.000000
TRexSPCA-ENaug-Act,PEV,0.150000,0.462633
TRexSPCA-ENaug-Act,PEVsig,0.150000,0.765128
TRexSPCA-ENaug-Act,PEVsigmix,0.150000,0.759865
TRexSPCA-ENaug-Act,FDR,0.200000,0.298812
TRexSPCA-ENaug-Act,TPR,0.200000,1.000000
TRexSPCA-ENaug-Act,PEV,0.200000,0.476264
TRexSPCA-ENaug-Act,PEVsig,0.200000,0.785147
TRexSPCA-ENaug-Act,PEVsigmix,0.200000,0.776549
TRexSPCA-ENaug-Act,FDR,0.250000,0.358043
TRexSPCA-ENaug-Act,TPR,0.250000,1.000000
TRexSPCA-ENaug-Act,PEV,0.250000,0.479676
TRexSPCA-ENaug-Act,PEVsig,0.250000,0.793569
TRexSPCA-ENaug-Act,PEVsigmix,0.250000,0.782269
TRexSPCA-ENaug-Act,FDR,0.300000,0.414523
TRexSPCA-ENaug-Act,TPR,0.300000,1.000000
TRexSPCA-ENaug-Act,PEV,0.300000,0.484264
TRexSPCA-ENaug-Act,PEVsig,0.300000,0.800789
TRexSPCA-ENaug-Act,PEVsigmix,0.300000,0.788622
TRexSPCA-ENaug-Act,FDR,0.350000,0.460839
TRexSPCA-ENaug-Act,TPR,0.350000,1.000000
TRexSPCA-ENaug-Act,PEV,0.350000,0.486556
TRexSPCA-ENaug-Act,PEVsig,0.350000,0.804374
TRexSPCA-ENaug-Act,PEVsigmix,0.350000,0.791676
TRexSPCA-ENaug-Act,FDR,0.400000,0.535626
TRexSPCA-ENaug-Act,TPR,0.400000,1.000000
TRexSPCA-ENaug-Act,PEV,0.400000,0.492704
TRexSPCA-ENaug-Act,PEVsig,0.400000,0.814710
TRexSPCA-ENaug-Act,PEVsigmix,0.400000,0.802740
TRexSPCA-ENaug-Act,FDR,0.450000,0.567349
TRexSPCA-ENaug-Act,TPR,0.450000,1.000000
TRexSPCA-ENaug-Act,PEV,0.450000,0.491847
TRexSPCA-ENaug-Act,PEVsig,0.450000,0.810994
TRexSPCA-ENaug-Act,PEVsigmix,0.450000,0.799784
TRexSPCA-ENaug-Act,FDR,0.500000,0.622088
TRexSPCA-ENaug-Act,TPR,0.500000,1.000000
TRexSPCA-ENaug-Act,PEV,0.500000,0.492989
TRexSPCA-ENaug-Act,PEVsig,0.500000,0.815598
TRexSPCA-ENaug-Act,PEVsigmix,0.500000,0.804520
TRexSPCA-EN-Thr,FDR,0.010000,0.015795
TRexSPCA-EN-Thr,TPR,0.010000,1.000000
TRexSPCA-EN-Thr,PEV,0.010000,0.390905
TRexSPCA-EN-Thr,PEVsig,0.010000,0.645005
TRexSPCA-EN-Thr,PEVsigmix,0.010000,0.645429
TRexSPCA-EN-Thr,FDR,0.050000,0.072853
TRexSPCA-EN-Thr,TPR,0.050000,1.000000
TRexSPCA-EN-Thr,PEV,0.050000,0.481278
TRexSPCA-EN-Thr,PEVsig,0.050000,0.793877
TRexSPCA-EN-Thr,PEVsigmix,0.050000,0.805165
TRexSPCA-EN-Thr,FDR,0.100000,0.112683
TRexSPCA-EN-Thr,TPR,0.100000,1.000000
TRexSPCA-EN-Thr,PEV,0.100000,0.491234
TRexSPCA-EN-Thr,PEVsig,0.100000,0.811973
TRexSPCA-EN-Thr,PEVsigmix,0.100000,0.825935
TRexSPCA-EN-Thr,FDR,0.150000,0.209744
TRexSPCA-EN-Thr,TPR,0.150000,1.000000
TRexSPCA-EN-Thr,PEV,0.150000,0.498191
TRexSPCA-EN-Thr,PEVsig,0.150000,0.823848
TRexSPCA-EN-Thr,PEVsigmix,0.150000,0.837941
TRexSPCA-EN-Thr,FDR,0.200000,0.303534
TRexSPCA-EN-Thr,TPR,0.200000,1.000000
TRexSPCA-EN-Thr,PEV,0.200000,0.509332
TRexSPCA-EN-Thr,PEVsig,0.200000,0.839543
TRexSPCA-EN-Thr,PEVsigmix,0.200000,0.851181
TRexSPCA-EN-Thr,FDR,0.250000,0.358161
TRexSPCA-EN-Thr,TPR,0.250000,1.000000
TRexSPCA-EN-Thr,PEV,0.250000,0.515480
TRexSPCA-EN-Thr,PEVsig,0.250000,0.852671
TRexSPCA-EN-Thr,PEVsigmix,0.250000,0.855966
TRexSPCA-EN-Thr,FDR,0.300000,0.413964
TRexSPCA-EN-Thr,TPR,0.300000,1.000000
TRexSPCA-EN-Thr,PEV,0.300000,0.520602
TRexSPCA-EN-Thr,PEVsig,0.300000,0.860844
