method,metric,snr_db,value
TRexSPCA-EN-Act,FDR,3.000000,0.133910
TRexSPCA-EN-Act,TPR,3.000000,1.000000
TRexSPCA-EN-Act,PEV,3.000000,0.592605
TRexSPCA-EN-Act,PEVsig,3.000000,0.804366
TRexSPCA-EN-Act,PEVsigmix,3.000000,0.807821
TRexSPCA-EN-Act,FDR,5.000000,0.150444
TRexSPCA-EN-Act,TPR,5.000000,1.000000
TRexSPCA-EN-Act,PEV,5.000000,0.664797
TRexSPCA-EN-Act,PEVsig,5.000000,0.820675
TRexSPCA-EN-Act,PEVsigmix,5.000000,0.825306
TRexSPCA-EN-Act,FDR,7.000000,0.139468
TRexSPCA-EN-Act,TPR,7.000000,1.000000
TRexSPCA-EN-Act,PEV,7.000000,0.715541
TRexSPCA-EN-Act,PEVsig,7.000000,0.824001
TRexSPCA-EN-Act,PEVsigmix,7.000000,0.827754
TRexSPCA-EN-Act,FDR,10.000000,0.138292
TRexSPCA-EN-Act,TPR,10.000000,1.000000
TRexSPCA-EN-Act,PEV,10.000000,0.758738
TRexSPCA-EN-Act,PEVsig,10.000000,0.817491
TRexSPCA-EN-Act,PEVsigmix,10.000000,0.820503
TRexSPCA-ENaug-Act,FDR,-10.000000,0.126111
TRexSPCA-ENaug-Act,TPR,-10.000000,0.979500
TRexSPCA-ENaug-Act,PEV,-10.000000,0.114625
TRexSPCA-ENaug-Act,PEVsig,-10.000000,0.406464
TRexSPCA-ENaug-Act,PEVsigmix,-10.000000,0.337755
TRexSPCA-ENaug-Act,FDR,-7.000000,0.097363
TRexSPCA-ENaug-Act,TPR,-7.000000,0.998500
TRexSPCA-ENaug-Act,PEV,-7.000000,0.177178
TRexSPCA-ENaug-Act,PEVsig,-7.000000,0.516836
TRexSPCA-ENaug-Act,PEVsigmix,-7.000000,0.477694
TRexSPCA-ENaug-Act,FDR,-5.000000,0.113474
TRexSPCA-ENaug-Act,TPR,-5.000000,1.000000
TRexSPCA-ENaug-Act,PEV,-5.000000,0.239893
TRexSPCA-ENaug-Act,PEVsig,-5.000000,0.599534
TRexSPCA-ENaug-Act,PEVsigmix,-5.000000,0.572202
TRexSPCA-ENaug-Act,FDR,-3.000000,0.103386
TRexSPCA-ENaug-Act,TPR,-3.000000,1.000000
TRexSPCA-ENaug-Act,PEV,-3.000000,0.318803
TRexSPCA-ENaug-Act,PEVsig,-3.000000,0.672807
TRexSPCA-ENaug-Act,PEVsigmix,-3.000000,0.658598
TRexSPCA-ENaug-Act,FDR,0.000000,0.117792
TRexSPCA-ENaug-Act,TPR,0.000000,1.000000
TRexSPCA-ENaug-Act,PEV,0.000000,0.454555
TRexSPCA-ENaug-Act,PEVsig,0.000000,0.751761
TRexSPCA-ENaug-Act,PEVsigmix,0.000000,0.749487
TRexSPCA-ENaug-Act,FDR,3.000000,0.140260
TRexSPCA-ENaug-Act,TPR,3.000000,1.000000
TRexSPCA-ENaug-Act,PEV,3.000000,0.592804
TRexSPCA-ENaug-Act,PEVsig,3.000000,0.804639
TRexSPCA-ENaug-Act,PEVsigmix,3.000000,0.808404
TRexSPCA-ENaug-Act,FDR,5.000000,0.149250
TRexSPCA-ENaug-Act,TPR,5.000000,1.000000
TRexSPCA-ENaug-Act,PEV,5.000000,0.663434
TRexSPCA-ENaug-Act,PEVsig,5.000000,0.819002
TRexSPCA-ENaug-Act,PEVsigmix,5.000000,0.823642
TRexSPCA-ENaug-Act,FDR,7.000000,0.137099
TRexSPCA-ENaug-Act,TPR,7.000000,1.000000
TRexSPCA-ENaug-Act,PEV,7.000000,0.711838
TRexSPCA-ENaug-Act,PEVsig,7.000000,0.819738
TRexSPCA-ENaug-Act,PEVsigmix,7.000000,0.823728
TRexSPCA-ENaug-Act,FDR,10.000000,0.133837
TRexSPCA-ENaug-Act,TPR,10.000000,1.000000
TRexSPCA-ENaug-Act,PEV,10.000000,0.756729
TRexSPCA-ENaug-Act,PEVsig,10.000000,0.815328
TRexSPCA-ENaug-Act,PEVsigmix,10.000000,0.818276
TRexSPCA-EN-Thr,FDR,-10.000000,0.128150
TRexSPCA-EN-Thr,TPR,-10.000000,0.982000
TRexSPCA-EN-Thr,PEV,-10.000000,0.128238
TRexSPCA-EN-Thr,PEVsig,-10.000000,0.454983
TRexSPCA-EN-Thr,PEVsigmix,-10.000000,0.392854
TRexSPCA-EN-Thr,FDR,-7.000000,0.098551
TRexSPCA-EN-Thr,TPR,-7.000000,0.999500
TRexSPCA-EN-Thr,PEV,-7.000000,0.195273
TRexSPCA-EN-Thr,PEVsig,-7.000000,0.569464
TRexSPCA-EN-Thr,PEVsigmix,-7.000000,0.537591
TRexSPCA-EN-Thr,FDR,-5.000000,0.109883
TRexSPCA-EN-Thr,TPR,-5.000000,1.000000
TRexSPCA-EN-Thr,PEV,-5.000000,0.259055
TRexSPCA-EN-Thr,PEVsig,-5.000000,0.647188
TRexSPCA-EN-Thr,PEVsigmix,-5.000000,0.630110
TRexSPCA-EN-Thr,FDR,-3.000000,0.103540
TRexSPCA-EN-Thr,TPR,-3.000000,1.000000
TRexSPCA-EN-Thr,PEV,-3.000000,0.341963
TRexSPCA-EN-Thr,PEVsig,-3.000000,0.721557
TRexSPCA-EN-Thr,PEVsigmix,-3.000000,0.718148
TRexSPCA-EN-Thr,FDR,0.000000,0.119260
TRexSPCA-EN-Thr,TPR,0.000000,1.000000
TRexSPCA-EN-Thr,PEV,0.000000,0.489934
TRexSPCA-EN-Thr,PEVsig,0.000000,0.810178
TRexSPCA-EN-Thr,PEVsigmix,0.000000,0.825119
TRexSPCA-EN-Thr,FDR,3.000000,0.133806
TRexSPCA-EN-Thr,TPR,3.000000,1.000000
TRexSPCA-EN-Thr,PEV,3.000000,0.641823
TRexSPCA-EN-Thr,PEVsig,3.000000,0.871092
TRexSPCA-EN-Thr,PEVsigmix,3.000000,0.894972
TRexSPCA-EN-Thr,FDR,5.000000,0.147063
TRexSPCA-EN-Thr,TPR,5.000000,1.000000
TRexSPCA-EN-Thr,PEV,5.000000,0.726186
TRexSPCA-EN-Thr,PEVsig,5.000000,0.896454
TRexSPCA-EN-Thr,PEVsigmix,5.000000,0.920645
TRexSPCA-EN-Thr,FDR,7.000000,0.135436
TRexSPCA-EN-Thr,TPR,7.000000,1.000000
TRexSPCA-EN-Thr,PEV,7.000000,0.793625
TRexSPCA-EN-Thr,PEVsig,7.000000,0.913840
TRexSPCA-EN-Thr,PEVsigmix,7.000000,0.937138
TRexSPCA-EN-Thr,FDR,10.000000,0.140021
TRexSPCA-EN-Thr,TPR,10.000000,1.000000
TRexSPCA-EN-Thr,PEV,10.000000,0.863011
TRexSPCA-EN-Thr,PEVsig,10.000000,0.929816
TRexSPCA-EN-Thr,PEVsigmix,10.000000,0.948269
TRexSPCA-ENaug-Thr,FDR,-10.000000,0.127137
TRexSPCA-ENaug-Thr,TPR,-10.000000,0.985000
TRexSPCA-ENaug-Thr,PEV,-10.000000,0.128934
TRexSPCA-ENaug-Thr,PEVsig,-10.000000,0.457567
TRexSPCA-ENaug-Thr,PEVsigmix,-10.000000,0.393163
TRexSPCA-ENaug-Thr,FDR,-7.000000,0.092364
TRexSPCA-ENaug-Thr,TPR,-7.000000,0.999500
TRexSPCA-ENaug-Thr,PEV,-7.000000,0.194403
TRexSPCA-ENaug-Thr,PEVsig,-7.000000,0.566950
TRexSPCA-ENaug-Thr,PEVsigmix,-7.000000,0.535505
TRexSPCA-ENaug-Thr,FDR,-5.000000,0.112404
TRexSPCA-ENaug-Thr,TPR,-5.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,-5.000000,0.259318
TRexSPCA-ENaug-Thr,PEVsig,-5.000000,0.647857
TRexSPCA-ENaug-Thr,PEVsigmix,-5.000000,0.631673
TRexSPCA-ENaug-Thr,FDR,-3.000000,0.101015
TRexSPCA-ENaug-Thr,TPR,-3.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,-3.000000,0.342171
TRexSPCA-ENaug-Thr,PEVsig,-3.000000,0.721995
TRexSPCA-ENaug-Thr,PEVsigmix,-3.000000,0.717367
TRexSPCA-ENaug-Thr,FDR,0.000000,0.117241
TRexSPCA-ENaug-Thr,TPR,0.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,0.000000,0.489479
TRexSPCA-ENaug-Thr,PEVsig,0.000000,0.809429
TRexSPCA-ENaug-Thr,PEVsigmix,0.000000,0.823715
TRexSPCA-ENaug-Thr,FDR,3.000000,0.143712
TRexSPCA-ENaug-Thr,TPR,3.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,3.000000,0.642419
TRexSPCA-ENaug-Thr,PEVsig,3.000000,0.871899
TRexSPCA-ENaug-Thr,PEVsigmix,3.000000,0.895733
TRexSPCA-ENaug-Thr,FDR,5.000000,0.150266
TRexSPCA-ENaug-Thr,TPR,5.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,5.000000,0.725977
TRexSPCA-ENaug-Thr,PEVsig,5.000000,0.896198
TRexSPCA-ENaug-Thr,PEVsigmix,5.000000,0.919887
TRexSPCA-ENaug-Thr,FDR,7.000000,0.142194
TRexSPCA-ENaug-Thr,TPR,7.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,7.000000,0.794796
TRexSPCA-ENaug-Thr,PEVsig,7.000000,0.915187
TRexSPCA-ENaug-Thr,PEVsigmix,7.000000,0.938330
TRexSPCA-ENaug-Thr,FDR,10.000000,0.140740
TRexSPCA-ENaug-Thr,TPR,10.000000,1.000000
TRexSPCA-ENaug-Thr,PEV,10.000000,0.862885
TRexSPCA-ENaug-Thr,PEVsig,10.000000,0.929678
TRexSPCA-ENaug-Thr,PEVsigmix,10.000000,0.948077
