key,value
T_stop,11
L,2
rho_thresh,0.6342159128237379
n_selected,4
FDP,0
TPP,0.80000000000000004
selected_0based,0|5|10|15
rho_grid,0.18150520085928934|0.20324923815872298|0.22031837065974802|0.61098920118455946|0.62933890629160294|0.6342159128237379|0.66252575686955006|0.66614276499073821|0.6805780142765997|0.68450487613538791|0.70180405777866306|0.70849772853526616|0.71567543472183948|0.7157373195401896|0.72320772800517019|0.73296161096024814|0.75277026696788485|0.75507266790444083|0.76945036323808502|1
