method,metric,row_label,col_label,mean,sd
IEN,mean_TPP,snr=1.00,rho=0.70,0.967033,0.063721
EN,mean_FDP,snr=1.00,rho=0.90,0.070000,0.042432
EN,mean_TPP,snr=1.00,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.90,0.065265,0.042785
EN+AUG,mean_TPP,snr=1.00,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.90,0.023317,0.024630
IEN,mean_TPP,snr=1.00,rho=0.90,0.989367,0.044714
EN,mean_FDP,snr=1.00,rho=0.95,0.067341,0.043754
EN,mean_TPP,snr=1.00,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.95,0.063136,0.044058
EN+AUG,mean_TPP,snr=1.00,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.95,0.022683,0.026482
IEN,mean_TPP,snr=1.00,rho=0.95,0.991567,0.039621
EN,mean_FDP,snr=1.00,rho=0.99,0.060972,0.041694
EN,mean_TPP,snr=1.00,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=1.00,rho=0.99,0.057052,0.038256
EN+AUG,mean_TPP,snr=1.00,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=1.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=1.00,rho=0.99,0.019400,0.002026
EN,mean_FDP,snr=2.00,rho=0.30,0.090577,0.024069
EN,mean_TPP,snr=2.00,rho=0.30,0.960400,0.033535
EN+AUG,mean_FDP,snr=2.00,rho=0.30,0.091548,0.025084
EN+AUG,mean_TPP,snr=2.00,rho=0.30,0.974033,0.025654
IEN,mean_FDP,snr=2.00,rho=0.30,0.005323,0.007671
IEN,mean_TPP,snr=2.00,rho=0.30,0.763533,0.098132
EN,mean_FDP,snr=2.00,rho=0.50,0.083870,0.035179
EN,mean_TPP,snr=2.00,rho=0.50,0.997600,0.006651
EN+AUG,mean_FDP,snr=2.00,rho=0.50,0.083014,0.035155
EN+AUG,mean_TPP,snr=2.00,rho=0.50,0.998767,0.004070
IEN,mean_FDP,snr=2.00,rho=0.50,0.008951,0.011476
IEN,mean_TPP,snr=2.00,rho=0.50,0.963233,0.052904
EN,mean_FDP,snr=2.00,rho=0.70,0.071538,0.042921
EN,mean_TPP,snr=2.00,rho=0.70,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.70,0.065927,0.042489
EN+AUG,mean_TPP,snr=2.00,rho=0.70,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.70,0.015443,0.019160
IEN,mean_TPP,snr=2.00,rho=0.70,0.994667,0.024060
EN,mean_FDP,snr=2.00,rho=0.90,0.064993,0.044986
EN,mean_TPP,snr=2.00,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.90,0.061049,0.043641
EN+AUG,mean_TPP,snr=2.00,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.90,0.015085,0.021965
IEN,mean_TPP,snr=2.00,rho=0.90,0.998700,0.009884
EN,mean_FDP,snr=2.00,rho=0.95,0.064348,0.044769
EN,mean_TPP,snr=2.00,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.95,0.059388,0.043205
EN+AUG,mean_TPP,snr=2.00,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.95,0.014481,0.023059
IEN,mean_TPP,snr=2.00,rho=0.95,0.999233,0.007387
EN,mean_FDP,snr=2.00,rho=0.99,0.057939,0.040798
EN,mean_TPP,snr=2.00,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=2.00,rho=0.99,0.056638,0.038282
EN+AUG,mean_TPP,snr=2.00,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=2.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=2.00,rho=0.99,0.019767,0.001228
EN,mean_FDP,snr=5.00,rho=0.30,0.089008,0.026800
EN,mean_TPP,snr=5.00,rho=0.30,0.986767,0.015851
EN+AUG,mean_FDP,snr=5.00,rho=0.30,0.088566,0.029764
EN+AUG,mean_TPP,snr=5.00,rho=0.30,0.991933,0.012406
IEN,mean_FDP,snr=5.00,rho=0.30,0.004831,0.006641
IEN,mean_TPP,snr=5.00,rho=0.30,0.885267,0.072688
EN,mean_FDP,snr=5.00,rho=0.50,0.077448,0.039800
EN,mean_TPP,snr=5.00,rho=0.50,0.999500,0.002984
EN+AUG,mean_FDP,snr=5.00,rho=0.50,0.072013,0.040450
EN+AUG,mean_TPP,snr=5.00,rho=0.50,0.999767,0.002444
IEN,mean_FDP,snr=5.00,rho=0.50,0.011108,0.014846
IEN,mean_TPP,snr=5.00,rho=0.50,0.991233,0.024589
EN,mean_FDP,snr=5.00,rho=0.70,0.065578,0.043718
EN,mean_TPP,snr=5.00,rho=0.70,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.70,0.059392,0.043137
EN+AUG,mean_TPP,snr=5.00,rho=0.70,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.70,0.011467,0.019105
IEN,mean_TPP,snr=5.00,rho=0.70,0.999000,0.010646
EN,mean_FDP,snr=5.00,rho=0.90,0.061587,0.044056
EN,mean_TPP,snr=5.00,rho=0.90,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.90,0.058721,0.043996
EN+AUG,mean_TPP,snr=5.00,rho=0.90,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.90,0.005192,0.013129
IEN,mean_TPP,snr=5.00,rho=0.90,1.000000,0.000000
EN,mean_FDP,snr=5.00,rho=0.95,0.061982,0.043858
EN,mean_TPP,snr=5.00,rho=0.95,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.95,0.057549,0.043315
EN+AUG,mean_TPP,snr=5.00,rho=0.95,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.95,0.004411,0.012699
IEN,mean_TPP,snr=5.00,rho=0.95,1.000000,0.000000
EN,mean_FDP,snr=5.00,rho=0.99,0.060477,0.042239
EN,mean_TPP,snr=5.00,rho=0.99,1.000000,0.000000
EN+AUG,mean_FDP,snr=5.00,rho=0.99,0.056411,0.039518
EN+AUG,mean_TPP,snr=5.00,rho=0.99,1.000000,0.000000
IEN,mean_FDP,snr=5.00,rho=0.99,0.000000,0.000000
IEN,mean_TPP,snr=5.00,rho=0.99,0.019933,0.000665
