method,metric,lambda2_method,mean,sd
TENET,mean_FDP,CV_1SE_SVD,0.068387,0.042469
TENET,mean_TPP,CV_1SE_SVD,0.999967,0.000471
TIENET_AUG,mean_FDP,CV_1SE_SVD,0.004307,0.011561
TIENET_AUG,mean_TPP,CV_1SE_SVD,0.999833,0.001043
TENET,mean_FDP,CV_1SE_CCD,0.068232,0.042264
TENET,mean_TPP,CV_1SE_CCD,0.999967,0.000471
TIENET_AUG,mean_FDP,CV_1SE_CCD,0.015443,0.019160
TIENET_AUG,mean_TPP,CV_1SE_CCD,0.994667,0.024060
