method,metric,rho,value
Screen-TRex Boot+DA-BLOCK-EQUI,TPR,0.200000,0.004000
Screen-TRex Boot+DA-BLOCK-EQUI,Est. FDR,0.200000,0.000385
Screen-TRex Boot+DA-BLOCK-EQUI,FDR,0.300000,0.000000
Screen-TRex Boot+DA-BLOCK-EQUI,TPR,0.300000,0.000000
Screen-TRex Boot+DA-BLOCK-EQUI,Est. FDR,0.300000,0.000000
Screen-TRex Boot+DA-BLOCK-EQUI,FDR,0.400000,0.008095
Screen-TRex Boot+DA-BLOCK-EQUI,TPR,0.400000,0.013000
Screen-TRex Boot+DA-BLOCK-EQUI,Est. FDR,0.400000,0.000794
Screen-TRex Boot+DA-BLOCK-EQUI,FDR,0.500000,0.021478
Screen-TRex Boot+DA-BLOCK-EQUI,TPR,0.500000,0.028000
Screen-TRex Boot+DA-BLOCK-EQUI,Est. FDR,0.500000,0.001764
Screen-TRex Boot+DA-BLOCK-EQUI,FDR,0.600000,0.042507
Screen-TRex Boot+DA-BLOCK-EQUI,TPR,0.600000,0.039500
Screen-TRex Boot+DA-BLOCK-EQUI,Est. FDR,0.600000,0.002695
Screen-TRex Boot+DA-BLOCK-EQUI,FDR,0.700000,0.058760
Screen-TRex Boot+DA-BLOCK-EQUI,TPR,0.700000,0.036500
Screen-TRex Boot+DA-BLOCK-EQUI,Est. FDR,0.700000,0.003383
Screen-TRex Boot+DA-BLOCK-EQUI,FDR,0.800000,0.073673
Screen-TRex Boot+DA-BLOCK-EQUI,TPR,0.800000,0.027000
Screen-TRex Boot+DA-BLOCK-EQUI,Est. FDR,0.800000,0.003520
Screen-TRex Boot+DA-BLOCK-EQUI,FDR,0.900000,0.110115
Screen-TRex Boot+DA-BLOCK-EQUI,TPR,0.900000,0.019000
Screen-TRex Boot+DA-BLOCK-EQUI,Est. FDR,0.900000,0.006405
