method,metric,SNR,value
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,FDR,0.100000,0.186667
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,TPR,0.100000,0.018500
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,Est. FDR,0.100000,0.288333
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,FDR,0.200000,0.096583
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,TPR,0.200000,0.043000
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,Est. FDR,0.200000,0.268083
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,FDR,0.500000,0.019260
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,TPR,0.500000,0.074000
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,Est. FDR,0.500000,0.051990
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,FDR,0.600000,0.012704
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,TPR,0.600000,0.089500
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,Est. FDR,0.600000,0.038286
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,FDR,1.000000,0.008338
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,TPR,1.000000,0.133500
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,Est. FDR,1.000000,0.017368
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,FDR,2.000000,0.014628
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,TPR,2.000000,0.383500
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,Est. FDR,2.000000,0.037204
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,FDR,5.000000,0.021429
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,TPR,5.000000,0.510000
Screen-TRex Bootstrap-CI+DA-AR1: TLARS,Est. FDR,5.000000,0.048857
