method,metric,SNR,value
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,Est. FDR,0.010000,0.152917
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,FDR,0.100000,0.271511
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,TPR,0.100000,0.008000
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,Est. FDR,0.100000,0.038703
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,FDR,0.200000,0.457585
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,TPR,0.200000,0.043000
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,Est. FDR,0.200000,0.038507
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,FDR,0.500000,0.599876
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,TPR,0.500000,0.168500
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,Est. FDR,0.500000,0.032251
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,FDR,0.600000,0.714854
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,TPR,0.600000,0.249000
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,Est. FDR,0.600000,0.033092
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,FDR,1.000000,0.707891
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,TPR,1.000000,0.422000
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,Est. FDR,1.000000,0.026193
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,FDR,2.000000,0.674688
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,TPR,2.000000,0.646000
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,Est. FDR,2.000000,0.020711
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,FDR,5.000000,0.669026
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,TPR,5.000000,0.839000
Screen-TRex Bootstrap-CI+DA-EQUI: TLARS,Est. FDR,5.000000,0.018324
