method,metric,rho,value
Screen-TRex Bootstrap+DA-AR1,Est. FDR,0.300000,0.019685
Screen-TRex Bootstrap+DA-AR1,FDR,0.400000,0.009371
Screen-TRex Bootstrap+DA-AR1,TPR,0.400000,0.160000
Screen-TRex Bootstrap+DA-AR1,Est. FDR,0.400000,0.023167
Screen-TRex Bootstrap+DA-AR1,FDR,0.500000,0.004889
Screen-TRex Bootstrap+DA-AR1,TPR,0.500000,0.127500
Screen-TRex Bootstrap+DA-AR1,Est. FDR,0.500000,0.019917
Screen-TRex Bootstrap+DA-AR1,FDR,0.600000,0.006842
Screen-TRex Bootstrap+DA-AR1,TPR,0.600000,0.050500
Screen-TRex Bootstrap+DA-AR1,Est. FDR,0.600000,0.008020
Screen-TRex Bootstrap+DA-AR1,FDR,0.700000,0.006905
Screen-TRex Bootstrap+DA-AR1,TPR,0.700000,0.051500
Screen-TRex Bootstrap+DA-AR1,Est. FDR,0.700000,0.006302
Screen-TRex Bootstrap+DA-AR1,FDR,0.800000,0.008920
Screen-TRex Bootstrap+DA-AR1,TPR,0.800000,0.034000
Screen-TRex Bootstrap+DA-AR1,Est. FDR,0.800000,0.004925
Screen-TRex Bootstrap+DA-AR1,FDR,0.900000,0.001111
Screen-TRex Bootstrap+DA-AR1,TPR,0.900000,0.003500
Screen-TRex Bootstrap+DA-AR1,Est. FDR,0.900000,0.000556
