method,metric,rho,value
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.300000,0.018392
Screen-TRex Bootstrap DA-EQUI,FDR,0.400000,0.646033
Screen-TRex Bootstrap DA-EQUI,TPR,0.400000,0.380000
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.400000,0.025206
Screen-TRex Bootstrap DA-EQUI,FDR,0.500000,0.754068
Screen-TRex Bootstrap DA-EQUI,TPR,0.500000,0.323500
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.500000,0.029840
Screen-TRex Bootstrap DA-EQUI,FDR,0.600000,0.856961
Screen-TRex Bootstrap DA-EQUI,TPR,0.600000,0.241500
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.600000,0.036487
Screen-TRex Bootstrap DA-EQUI,FDR,0.700000,0.894870
Screen-TRex Bootstrap DA-EQUI,TPR,0.700000,0.158000
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.700000,0.043721
Screen-TRex Bootstrap DA-EQUI,FDR,0.800000,0.924253
Screen-TRex Bootstrap DA-EQUI,TPR,0.800000,0.110500
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.800000,0.054253
Screen-TRex Bootstrap DA-EQUI,FDR,0.900000,0.943165
Screen-TRex Bootstrap DA-EQUI,TPR,0.900000,0.055500
Screen-TRex Bootstrap DA-EQUI,Est. FDR,0.900000,0.077240
